,from date,to date,from SCHH price,to SCHH price,SCHH cod,SCHH pct cod,from USRT price,to USRT price,USRT cod,USRT pct cod,to USRT / to SCHH,to USRT / to USRT
715,2024-06-26,2024-06-27,19.61,19.8,0.19000000000000128,0.009642297492234693,52.49,52.99,0.5,0.009480541240462199,2.676262626262626,1.0
716,2024-06-27,2024-06-28,19.8,19.97,0.16999999999999815,0.008549209727234185,52.99,53.56,0.5700000000000003,0.010699304318301024,2.682023034551828,1.0
717,2024-06-28,2024-07-01,19.97,19.78,-0.18999999999999773,-0.009559821233157711,53.56,53.07,-0.490000000000002,-0.009190723983168197,2.6830131445904954,1.0
718,2024-07-01,2024-07-02,19.78,19.86,0.0799999999999983,0.004036332422460332,53.07,53.41,0.3399999999999963,0.006386197511875343,2.68932527693857,1.0
719,2024-07-02,2024-07-03,19.86,19.85,-0.00999999999999801,-0.0005036514838270171,53.41,53.32,-0.0899999999999963,-0.0016864990411709895,2.6861460957178838,1.0
720,2024-07-03,2024-07-05,19.85,19.91,0.05999999999999872,0.003018110942905332,53.32,53.52,0.20000000000000284,0.003743920509465061,2.6880964339527877,1.0
721,2024-07-05,2024-07-08,19.91,19.95,0.03999999999999915,0.0020070252597674345,53.52,53.54,0.01999999999999602,0.0003736222722334588,2.6837092731829575,1.0
722,2024-07-08,2024-07-09,19.95,19.95,0.0,0.0,53.54,53.58,0.03999999999999915,0.000746826024256116,2.685714285714286,1.0
723,2024-07-09,2024-07-10,19.95,20.11,0.16000000000000014,0.007988060448688303,53.58,54.02,0.44000000000000483,0.008178484248006893,2.6862257583291895,1.0
724,2024-07-10,2024-07-11,20.11,20.64,0.5300000000000011,0.026013736828801298,54.02,55.26,1.2399999999999949,0.02269497113080089,2.6773255813953485,1.0
725,2024-07-11,2024-07-12,20.64,20.81,0.16999999999999815,0.008202699792180976,55.26,55.58,0.3200000000000003,0.005774104819087185,2.6708313310908216,1.0
726,2024-07-12,2024-07-15,20.81,20.93,0.120000000000001,0.005749896052365434,55.58,56.05,0.46999999999999886,0.008420725203811253,2.67797419971333,1.0
727,2024-07-15,2024-07-16,20.93,21.15,0.21999999999999886,0.01045636903437848,56.05,56.64,0.5900000000000034,0.010471299867295437,2.6780141843971634,1.0
728,2024-07-16,2024-07-17,21.15,21.34,0.19000000000000128,0.008943340381320454,56.64,57.06,0.4200000000000017,0.007387896399889542,2.673851921274602,1.0
729,2024-07-17,2024-07-18,21.34,21.16,-0.17999999999999972,-0.008470638883508665,57.06,56.55,-0.5100000000000051,-0.008978143223224534,2.6724952741020793,1.0
730,2024-07-18,2024-07-19,21.16,21.11,-0.05000000000000071,-0.002365745129869469,56.55,56.49,-0.05999999999999517,-0.0010615712249586345,2.675982946470867,1.0
731,2024-07-19,2024-07-22,21.11,21.33,0.21999999999999886,0.010367670623029844,56.49,57.21,0.7199999999999989,0.012665076943266726,2.6821378340365682,1.0
732,2024-07-22,2024-07-23,21.33,21.32,-0.00999999999999801,-0.0004689331856153175,57.21,57.21,0.0,0.0,2.6833958724202627,1.0
733,2024-07-23,2024-07-24,21.32,20.98,-0.33999999999999986,-0.01607599632949268,57.21,56.18,-1.0300000000000011,-0.018167886604339812,2.6777883698760725,1.0
734,2024-07-24,2024-07-25,20.98,20.86,-0.120000000000001,-0.005736153395524746,56.18,55.63,-0.5499999999999972,-0.009838197588895722,2.666826462128476,1.0
735,2024-07-25,2024-07-26,20.86,21.21,0.3500000000000014,0.016639319003964724,55.63,56.59,0.9600000000000009,0.017109667067230647,2.6680810938236683,1.0
736,2024-07-26,2024-07-29,21.21,21.32,0.10999999999999943,0.0051728307210526315,56.59,56.9,0.30999999999999517,0.005463049977852683,2.668855534709193,1.0
737,2024-07-29,2024-07-30,21.32,21.48,0.16000000000000014,0.007476670343020137,56.9,57.15,0.25,0.004384049108534449,2.660614525139665,1.0
738,2024-07-30,2024-07-31,21.48,21.39,-0.08999999999999986,-0.004198746546349716,57.15,56.94,-0.21000000000000085,-0.0036813083909281504,2.6619915848527347,1.0
739,2024-07-31,2024-08-01,21.39,21.69,0.3000000000000007,0.013927801744468804,56.94,57.53,0.5900000000000034,0.010308469025310563,2.652374366067312,1.0
740,2024-08-01,2024-08-02,21.69,21.72,0.029999999999997584,0.0013821702269516739,57.53,57.31,-0.21999999999999886,-0.0038314223115559487,2.638581952117864,1.0
741,2024-08-02,2024-08-05,21.72,21.11,-0.6099999999999994,-0.0284866332055054,57.31,55.69,-1.6200000000000045,-0.028674530962068987,2.6380862150639506,1.0
742,2024-08-05,2024-08-06,21.11,21.56,0.4499999999999993,0.021092884180567078,55.69,57.07,1.3800000000000026,0.024477986947039468,2.647031539888683,1.0
743,2024-08-06,2024-08-07,21.56,21.41,-0.14999999999999858,-0.006981643439204959,57.07,56.75,-0.3200000000000003,-0.005622928187104716,2.6506305464736104,1.0
