,from date,to date,from CWB price,to CWB price,CWB cod,CWB pct cod,from ICVT price,to ICVT price,ICVT cod,ICVT pct cod,to ICVT / to CWB,to ICVT / to ICVT
413,2023-04-12,2023-04-13,66.64,67.06,0.4200000000000017,0.006282743179495209,72.08,72.52,0.4399999999999977,0.006085772586567901,1.0814196242171188,1.0
414,2023-04-13,2023-04-14,67.06,66.87,-0.18999999999999773,-0.0028373049721952155,72.52,72.23,-0.28999999999999204,-0.004006913823894751,1.0801555256467774,1.0
415,2023-04-14,2023-04-17,66.87,67.13,0.2599999999999909,0.003880601884772895,72.23,72.6,0.36999999999999034,0.005109449767994894,1.0814836883658572,1.0
416,2023-04-17,2023-04-18,67.13,67.02,-0.10999999999999943,-0.0016399556414958619,72.6,72.56,-0.03999999999999204,-0.0005511160238691141,1.0826618919725457,1.0
417,2023-04-18,2023-04-19,67.02,66.84,-0.1799999999999926,-0.002689378581971212,72.56,72.39,-0.1700000000000017,-0.0023456375018311723,1.0830341113105924,1.0
418,2023-04-19,2023-04-20,66.84,66.68,-0.1599999999999966,-0.0023966458445996534,72.39,72.05,-0.3400000000000034,-0.004707845859518998,1.0805338932213555,1.0
419,2023-04-20,2023-04-21,66.68,66.62,-0.060000000000002274,-0.0009002251170597283,72.05,72.06,0.010000000000005116,0.00013878287441612563,1.0816571600120084,1.0
420,2023-04-21,2023-04-24,66.62,66.74,0.11999999999999034,0.0017996405576941956,72.06,72.01,-0.04999999999999716,-0.0006941070591717152,1.0789631405454003,1.0
421,2023-04-24,2023-04-25,66.74,65.86,-0.8799999999999955,-0.013273196375009686,72.01,71.17,-0.8400000000000034,-0.011733616949595719,1.0806255693896143,1.0
422,2023-04-25,2023-04-26,65.86,65.75,-0.10999999999999943,-0.0016716058903443259,71.17,71.12,-0.04999999999999716,-0.0007027901055305773,1.0816730038022815,1.0
423,2023-04-26,2023-04-27,65.75,65.81,0.060000000000002274,0.0009121314101539286,71.12,71.3,0.1799999999999926,0.0025277362146009833,1.0834219723446283,1.0
424,2023-04-27,2023-04-28,65.81,66.03,0.21999999999999886,0.003337381738452253,71.3,71.37,0.07000000000000739,0.000981285562725877,1.080872330758746,1.0
425,2023-04-28,2023-05-01,66.03,66.05,0.01999999999999602,0.0003028467618542532,71.37,71.34,-0.030000000000001137,-0.00042043305223051056,1.080090840272521,1.0
426,2023-05-01,2023-05-02,66.05,65.5,-0.5499999999999972,-0.008361888327127996,71.34,70.74,-0.6000000000000085,-0.00844599615341098,1.0799999999999998,1.0
427,2023-05-02,2023-05-03,65.5,65.5,0.0,0.0,70.74,70.7,-0.03999999999999204,-0.0005656108748073817,1.0793893129770993,1.0
428,2023-05-03,2023-05-04,65.5,65.49,-0.010000000000005116,-0.00015268341124413434,70.7,70.61,-0.09000000000000341,-0.0012737953742716285,1.0781798747900444,1.0
429,2023-05-04,2023-05-05,65.49,66.07,0.5799999999999983,0.008817326811831975,70.61,71.38,0.769999999999996,0.010845940533758768,1.0803693052822765,1.0
430,2023-05-05,2023-05-08,66.07,66.2,0.13000000000000966,0.0019656769011683938,71.38,71.71,0.3299999999999983,0.004612489832469083,1.0832326283987914,1.0
431,2023-05-08,2023-05-09,66.2,66.16,-0.04000000000000625,-0.0006044122275267131,71.71,71.64,-0.06999999999999318,-0.0009766307019723947,1.0828295042321645,1.0
432,2023-05-09,2023-05-10,66.16,66.34,0.18000000000000682,0.002716982803470482,71.64,71.97,0.3299999999999983,0.004595788327201934,1.0848658426288815,1.0
433,2023-05-10,2023-05-11,66.34,66.33,-0.010000000000005116,-0.0001507499814418084,71.97,71.91,-0.060000000000002274,-0.000834028405310199,1.0841248303934872,1.0
434,2023-05-11,2023-05-12,66.33,66.31,-0.01999999999999602,-0.00030156815668825086,71.91,71.82,-0.09000000000000341,-0.0012523483164659486,1.0830945558739253,1.0
435,2023-05-12,2023-05-15,66.31,66.58,0.269999999999996,0.004063516766102516,71.82,72.11,0.29000000000000625,0.004029742130731458,1.0830579753679783,1.0
436,2023-05-15,2023-05-16,66.58,66.18,-0.3999999999999915,-0.006025929653412689,72.11,71.76,-0.3499999999999943,-0.004865513178127434,1.0843155031731642,1.0
437,2023-05-16,2023-05-17,66.18,66.42,0.23999999999999488,0.0036199134551343935,71.76,72.17,0.4099999999999966,0.0056972293336411154,1.086570310147546,1.0
438,2023-05-17,2023-05-18,66.42,66.58,0.1599999999999966,0.002406016198278411,72.17,72.32,0.14999999999999147,0.0020762689997391027,1.086212075698408,1.0
439,2023-05-18,2023-05-19,66.58,66.53,-0.04999999999999716,-0.0007512583930827251,72.32,72.26,-0.05999999999998806,-0.000829990364426747,1.086126559446866,1.0
440,2023-05-19,2023-05-22,66.53,66.73,0.20000000000000284,0.0030016531617191563,72.26,72.53,0.269999999999996,0.003729543655826746,1.0869174284429792,1.0
441,2023-05-22,2023-05-23,66.73,66.48,-0.25,-0.0037534763683224723,72.53,72.19,-0.3400000000000034,-0.004698737224251411,1.085890493381468,1.0
442,2023-05-23,2023-05-24,66.48,66.39,-0.09000000000000341,-0.001354707816124789,72.19,72.05,-0.14000000000000057,-0.0019412097055385344,1.085253803283627,1.0
443,2023-05-24,2023-05-25,66.39,66.33,-0.060000000000002274,-0.0009041591936034126,72.05,71.99,-0.060000000000002274,-0.0008331019643196132,1.0853309211518167,1.0
444,2023-05-25,2023-05-26,66.33,66.64,0.3100000000000023,0.004662714321122721,71.99,72.35,0.35999999999999943,0.004988232596281326,1.0856842737094836,1.0
445,2023-05-26,2023-05-30,66.64,66.9,0.2600000000000051,0.0038939692755956593,72.35,72.4,0.05000000000001137,0.0006908463141779936,1.0822122571001496,1.0
446,2023-05-30,2023-05-31,66.9,66.86,-0.04000000000000625,-0.0005980861422303129,72.4,72.41,0.009999999999990905,0.00013811200905851644,1.0830092731079868,1.0
447,2023-05-31,2023-06-01,66.86,67.03,0.1700000000000017,0.0025393993779138937,72.41,72.77,0.35999999999999943,0.004959370958265683,1.0856332985230492,1.0
448,2023-06-01,2023-06-02,67.03,67.6,0.5699999999999932,0.008467702679052067,72.77,73.52,0.75,0.010253695688436539,1.0875739644970415,1.0
449,2023-06-02,2023-06-05,67.6,67.94,0.3400000000000034,0.0050169796835194,73.52,73.89,0.37000000000000455,0.005020022753124732,1.0875772740653518,1.0
450,2023-06-05,2023-06-06,67.94,68.3,0.35999999999999943,0.005284803844306508,73.89,74.31,0.4200000000000017,0.005668031368821638,1.0879941434846268,1.0
451,2023-06-06,2023-06-07,68.3,68.16,-0.14000000000000057,-0.0020518840556840823,74.31,74.24,-0.07000000000000739,-0.000942443691432817,1.0892018779342723,1.0
452,2023-06-07,2023-06-08,68.16,68.42,0.2600000000000051,0.0038072970283984796,74.24,74.29,0.05000000000001137,0.0006732646857698816,1.0857936275942708,1.0
453,2023-06-08,2023-06-09,68.42,68.31,-0.10999999999999943,-0.0016090108057006626,74.29,74.19,-0.10000000000000853,-0.0013469829622804808,1.0860781730346947,1.0
454,2023-06-09,2023-06-12,68.31,68.68,0.37000000000000455,0.005401867285516965,74.19,74.63,0.4399999999999977,0.005913200941861537,1.0866336633663365,1.0
455,2023-06-12,2023-06-13,68.68,69.1,0.4199999999999875,0.006096694744349293,74.63,75.14,0.5100000000000051,0.006810469002526879,1.0874095513748192,1.0
456,2023-06-13,2023-06-14,69.1,69.05,-0.04999999999999716,-0.0007238509183229988,75.14,75.18,0.04000000000000625,0.0005321979902091726,1.088776249094859,1.0
457,2023-06-14,2023-06-15,69.05,69.44,0.39000000000000057,0.0056321904967935295,75.18,75.48,0.29999999999999716,0.003982482364317568,1.0869815668202767,1.0
458,2023-06-15,2023-06-16,69.44,69.43,-0.009999999999990905,-0.0001440195869126047,75.48,75.45,-0.030000000000001137,-0.00039753528649159105,1.0867060348552497,1.0
459,2023-06-16,2023-06-20,69.43,69.39,-0.04000000000000625,-0.0005762858537246388,75.45,75.2,-0.25,-0.0033189542580638063,1.083729644040928,1.0
460,2023-06-20,2023-06-21,69.39,69.4,0.010000000000005116,0.00014410260130146075,75.2,75.37,0.1700000000000017,0.0022580868995843053,1.0860230547550431,1.0
461,2023-06-21,2023-06-22,69.4,69.27,-0.13000000000000966,-0.0018749554782452257,75.37,75.4,0.030000000000001137,0.0003979571585319213,1.0884942976757617,1.0
462,2023-06-22,2023-06-23,69.27,68.79,-0.47999999999998977,-0.006953526496590768,75.4,74.85,-0.5500000000000114,-0.0073211641482731305,1.088094199738334,1.0
463,2023-06-23,2023-06-26,68.79,68.79,0.0,0.0,74.85,74.95,0.10000000000000853,0.0013351136829694225,1.0895478994039831,1.0
464,2023-06-26,2023-06-27,68.79,69.2,0.4099999999999966,0.005942477085701169,74.95,75.38,0.4299999999999926,0.005720763290382598,1.0893063583815028,1.0
465,2023-06-27,2023-06-28,69.2,69.49,0.28999999999999204,0.004181994702611911,75.38,75.65,0.27000000000001023,0.0035754523953757766,1.0886458483235,1.0
466,2023-06-28,2023-06-29,69.49,69.64,0.15000000000000568,0.0021562575737523594,75.65,75.87,0.21999999999999886,0.0029039091156184984,1.0894600804135555,1.0
467,2023-06-29,2023-06-30,69.64,69.95,0.3100000000000023,0.004441586211501883,75.87,76.36,0.4899999999999949,0.006437649507563386,1.0916368834882058,1.0
468,2023-06-30,2023-07-03,69.95,70.35,0.3999999999999915,0.005702082448907782,76.36,76.69,0.3299999999999983,0.00431232291922094,1.0901208244491827,1.0
469,2023-07-03,2023-07-05,70.35,70.38,0.030000000000001137,0.00042634833304102104,76.69,76.82,0.12999999999999545,0.001693701140990887,1.091503267973856,1.0
470,2023-07-05,2023-07-06,70.38,69.59,-0.789999999999992,-0.011288253036680263,76.82,75.66,-1.1599999999999966,-0.015215403712875478,1.0872251760310387,1.0
471,2023-07-06,2023-07-07,69.59,69.72,0.12999999999999545,0.0018663417950614085,75.66,76.07,0.4099999999999966,0.005404349804326594,1.0910786001147446,1.0
472,2023-07-07,2023-07-10,69.72,70.32,0.5999999999999943,0.008569032725101367,76.07,76.71,0.6400000000000006,0.008378108961995106,1.0908703071672354,1.0
473,2023-07-10,2023-07-11,70.32,70.66,0.3400000000000034,0.004823388554077691,76.71,77.07,0.35999999999999943,0.004682021818696929,1.0907161052929522,1.0
474,2023-07-11,2023-07-12,70.66,70.82,0.1599999999999966,0.0022618047527584425,77.07,77.23,0.1600000000000108,0.0020738827912707915,1.090511155040949,1.0
475,2023-07-12,2023-07-13,70.82,71.31,0.4900000000000091,0.006895123356454731,77.23,77.73,0.5,0.0064533006609558624,1.0900294488851494,1.0
476,2023-07-13,2023-07-14,71.31,70.95,-0.35999999999999943,-0.00506116643416062,77.73,77.42,-0.3100000000000023,-0.003996138092626242,1.0911909795630725,1.0
477,2023-07-14,2023-07-17,70.95,71.5,0.5499999999999972,0.0077220460939103185,77.42,77.87,0.45000000000000284,0.0057956244393926925,1.089090909090909,1.0
478,2023-07-17,2023-07-18,71.5,71.61,0.10999999999999943,0.0015372793188863979,77.87,78.06,0.18999999999999773,0.002436992163574164,1.0900712191034772,1.0
479,2023-07-18,2023-07-19,71.61,71.66,0.04999999999999716,0.0006979828579592072,78.06,78.18,0.12000000000000455,0.0015360986123398375,1.090985207926319,1.0
480,2023-07-19,2023-07-20,71.66,71.09,-0.5699999999999932,-0.007986031935415912,78.18,77.41,-0.7700000000000102,-0.009897889148186814,1.0889013926009283,1.0
481,2023-07-20,2023-07-21,71.09,71.21,0.11999999999999034,0.0016865780526415341,77.41,77.52,0.10999999999999943,0.0014199963658886848,1.0886111501193654,1.0
482,2023-07-21,2023-07-24,71.21,71.21,0.0,0.0,77.52,77.5,-0.01999999999999602,-0.0002580312232094097,1.08833029068951,1.0
483,2023-07-24,2023-07-25,71.21,71.23,0.020000000000010232,0.00028081999622925726,77.5,77.55,0.04999999999999716,0.0006449532632463751,1.08872666011512,1.0
484,2023-07-25,2023-07-26,71.23,71.27,0.03999999999999204,0.0005614035235167633,77.55,77.65,0.10000000000000853,0.0012886599721483498,1.0895187315841168,1.0
485,2023-07-26,2023-07-27,71.27,71.05,-0.21999999999999886,-0.0030916269706696914,77.65,77.37,-0.28000000000000114,-0.003612441033332971,1.088951442646024,1.0
486,2023-07-27,2023-07-28,71.05,71.69,0.6400000000000006,0.008967413321671154,77.37,78.07,0.6999999999999886,0.009006751570836368,1.0889942809317896,1.0
487,2023-07-28,2023-07-31,71.69,71.9,0.21000000000000796,0.0029249968622202306,78.07,78.59,0.5200000000000102,0.006638604745884055,1.0930458970792767,1.0
488,2023-07-31,2023-08-01,71.9,71.6,-0.30000000000001137,-0.004181190760401269,78.59,78.13,-0.46000000000000796,-0.005870358869430667,1.0912011173184357,1.0
489,2023-08-01,2023-08-02,71.6,70.67,-0.9299999999999926,-0.01307391926383692,78.13,77.0,-1.1299999999999955,-0.014568684154969024,1.0895712466393095,1.0
490,2023-08-02,2023-08-03,70.67,70.46,-0.21000000000000796,-0.0029759817896715026,77.0,77.02,0.01999999999999602,0.0002597065330789053,1.0931024694862335,1.0
491,2023-08-03,2023-08-04,70.46,70.3,-0.1599999999999966,-0.002273374096472361,77.02,76.71,-0.3100000000000023,-0.004033050415557866,1.091180654338549,1.0
492,2023-08-04,2023-08-07,70.3,70.63,0.3299999999999983,0.0046831846042117535,76.71,76.87,0.1600000000000108,0.002083605389835809,1.0883477275945068,1.0
493,2023-08-07,2023-08-08,70.63,70.16,-0.46999999999999886,-0.006676635356903226,76.87,76.67,-0.20000000000000284,-0.002605185790237576,1.092787913340935,1.0
494,2023-08-08,2023-08-09,70.16,69.89,-0.269999999999996,-0.003855770574889849,76.67,76.29,-0.37999999999999545,-0.0049686294686650334,1.0915724710258978,1.0
495,2023-08-09,2023-08-10,69.89,69.76,-0.12999999999999545,-0.0018617978883133902,76.29,76.19,-0.10000000000000853,-0.0013116476172197686,1.0921731651376145,1.0
496,2023-08-10,2023-08-11,69.76,69.86,0.09999999999999432,0.001432459777961735,76.19,76.09,-0.09999999999999432,-0.0013133702964868157,1.089178356713427,1.0
497,2023-08-11,2023-08-14,69.86,70.01,0.15000000000000568,0.00214484961042039,76.09,76.25,0.1599999999999966,0.002100565299089604,1.0891301242679616,1.0
498,2023-08-14,2023-08-15,70.01,69.46,-0.5500000000000114,-0.007887041673178366,76.25,75.77,-0.480000000000004,-0.006314979544239053,1.090843651022171,1.0
499,2023-08-15,2023-08-16,69.46,69.15,-0.30999999999998806,-0.004472989205160579,75.77,75.29,-0.47999999999998977,-0.006355112081250962,1.0887924801156905,1.0
