,symbol,unknown_0,unknown_1,unknown_2,min_order_size,max_order_size,unknown_5,unknown_6,unknown_7,initial_margin,maintenance_margin,unknown_10,unknown_11,pf_locator
161,TESTXAUT:TESTUSD,,,,0.002,400.0,,,,0.3,0.15,,,tTESTXAUT:TESTUSD
162,TITAN1:GBP,,,,0.001,100000.0,,,,,,,,tTITAN1:GBP
163,TITAN1:USD,,,,0.001,100000.0,,,,,,,,tTITAN1:USD
164,TITAN2:GBP,,,,0.001,100000.0,,,,,,,,tTITAN2:GBP
165,TITAN2:USD,,,,0.001,100000.0,,,,,,,,tTITAN2:USD
166,TONUSD,,,,1.0,50000.0,,,,,,,,tTONUSD
167,TONUST,,,,1.0,50000.0,,,,,,,,tTONUST
168,TRXBTC,,,,22.0,1000000.0,,,,,,,,tTRXBTC
169,TRXEUR,,,,22.0,1000000.0,,,,,,,,tTRXEUR
170,TRXUSD,,,,22.0,1000000.0,,,,0.3,0.15,,,tTRXUSD
171,TRXUST,,,,22.0,1000000.0,,,,0.3,0.15,,,tTRXUST
172,UDCUSD,,,,2.0,1000000.0,,,,,,,,tUDCUSD
173,UDCUST,,,,2.0,500000.0,,,,,,,,tUDCUST
174,UNIUSD,,,,0.2,50000.0,,,,0.3,0.15,,,tUNIUSD
175,UNIUST,,,,0.2,50000.0,,,,0.3,0.15,,,tUNIUST
176,UOSBTC,,,,4.0,400000.0,,,,,,,,tUOSBTC
177,UOSUSD,,,,4.0,400000.0,,,,,,,,tUOSUSD
178,USAT:USD,,,,0.001,50000.0,,,,,,,,tUSAT:USD
179,USAT:UST,,,,0.001,50000.0,,,,,,,,tUSAT:UST
180,USDF:USD,,,,0.001,50000.0,,,,,,,,tUSDF:USD
181,USDF:UST,,,,0.001,50000.0,,,,,,,,tUSDF:UST
182,USDQ:USD,,,,0.001,50000.0,,,,,,,,tUSDQ:USD
183,USDQ:UST,,,,0.001,50000.0,,,,,,,,tUSDQ:UST
184,USDR:USD,,,,0.001,100000.0,,,,,,,,tUSDR:USD
185,USDR:UST,,,,0.001,100000.0,,,,,,,,tUSDR:UST
186,USTBL:USD,,,,0.001,100000.0,,,,,,,,tUSTBL:USD
187,USTBL:UST,,,,0.001,100000.0,,,,,,,,tUSTBL:UST
188,USTUSD,,,,2.0,5000000.0,,,,0.1,0.05,,,tUSTUSD
189,WBTBTC,,,,0.00004,10.0,,,,,,,,tWBTBTC
