,symbol,base,quote,status,qty_precision,qty_increment,price_precision,cost_precision,marginable,has_index,ws_display_price_precision,cost_min,tick_size,price_increment,qty_min,margin_initial,position_limit_long,position_limit_short
1182,NOBODY/USD,NOBODY,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,1600.0,,,
1183,NOBODY/EUR,NOBODY,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,1600.0,,,
1184,AVNT/USD,AVNT,USD,online,5,1e-05,5,5,True,True,5,0.5,1e-05,1e-05,40.0,0.33,330000.0,0.0
1185,AVNT/EUR,AVNT,EUR,online,5,1e-05,5,5,False,True,5,0.45,1e-05,1e-05,40.0,,,
1186,U/USD,U,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,6300.0,,,
1187,U/EUR,U,EUR,online,5,1e-05,6,5,False,False,6,0.45,1e-06,1e-06,6300.0,,,
1188,XAUT/USD,XAUT,USD,online,8,1e-08,1,5,True,True,1,0.5,0.1,0.1,0.001,0.2,210.0,230.0
1189,ART/USD,ART,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,14000.0,,,
1190,ART/EUR,ART,EUR,online,5,1e-05,6,5,False,False,6,0.45,1e-06,1e-06,14000.0,,,
1191,XAUT/USDT,XAUT,USDT,online,8,1e-08,1,5,False,True,1,0.5,0.1,0.1,0.001,,,
1192,LINEA/USD,LINEA,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,1500.0,,,
1193,LINEA/EUR,LINEA,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,1500.0,,,
1194,MF/USD,MF,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,550.0,,,
1195,MF/EUR,MF,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,550.0,,,
1196,CTC/USD,CTC,USD,online,5,1e-05,4,5,False,False,4,0.5,0.0001,0.0001,35.0,,,
1197,CTC/EUR,CTC,EUR,online,5,1e-05,4,5,False,False,4,0.45,0.0001,0.0001,35.0,,,
1198,XL1/USD,XL1,USD,online,5,1e-05,7,5,False,False,7,0.5,1e-07,1e-07,16000.0,,,
1199,XL1/EUR,XL1,EUR,online,5,1e-05,7,5,False,False,7,0.45,1e-07,1e-07,16000.0,,,
1200,STBL/USD,STBL,USD,online,5,1e-05,6,5,True,True,6,0.5,1e-06,1e-06,160.0,0.33,440000.0,0.0
1201,STBL/EUR,STBL,EUR,online,5,1e-05,6,5,False,True,6,0.45,1e-06,1e-06,160.0,,,
1202,BTC/EURC,BTC,EURC,online,8,1e-08,1,5,False,True,1,0.45,0.1,0.1,5e-05,,,
1203,ETH/EURC,ETH,EURC,online,8,1e-08,2,5,False,True,2,0.45,0.01,0.01,0.001,,,
1204,SOL/EURC,SOL,EURC,online,8,1e-08,2,5,False,True,2,0.45,0.01,0.01,0.02,,,
1205,EURC/EUR,EURC,EUR,online,8,1e-08,4,8,False,True,4,0.45,0.0001,0.0001,4.0,,,
1206,EURC/USDC,EURC,USDC,online,8,1e-08,5,5,False,True,5,0.5,1e-05,1e-05,4.0,,,
1207,YB/EUR,YB,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,50.0,,,
1208,0G/EUR,0G,EUR,online,5,1e-05,3,5,False,True,3,0.45,0.001,0.001,10.0,,,
1209,0G/USD,0G,USD,online,5,1e-05,3,5,True,True,3,0.5,0.001,0.001,10.0,0.33,160000.0,0.0
1210,XAN/USD,XAN,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,600.0,,,
1211,XAN/EUR,XAN,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,600.0,,,
1212,BLESS/USD,BLESS,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,1000.0,,,
1213,LCAP/USD,LCAP,USD,online,5,1e-05,3,5,False,False,3,0.5,0.001,0.001,0.8,,,
1214,LCAP/EUR,LCAP,EUR,online,5,1e-05,3,5,False,False,3,0.45,0.001,0.001,0.8,,,
1215,XMN/USD,XMN,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,670.0,,,
1216,XMN/EUR,XMN,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,670.0,,,
1217,SOON/USD,SOON,USD,online,5,1e-05,4,5,False,False,4,0.5,0.0001,0.0001,45.0,,,
1218,SOON/EUR,SOON,EUR,online,5,1e-05,4,5,False,False,4,0.45,0.0001,0.0001,45.0,,,
1219,BERT/USD,BERT,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,630.0,,,
1220,BERT/EUR,BERT,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,630.0,,,
1221,EURC/USD,EURC,USD,online,8,1e-08,5,8,False,True,5,0.5,1e-05,1e-05,4.0,,,
1222,MYX/USD,MYX,USD,online,5,1e-05,3,5,False,False,3,0.5,0.001,0.001,25.0,,,
1223,USDE/USD,USDE,USD,online,5,1e-05,4,8,False,False,4,0.5,0.0001,0.0001,5.0,,,
1224,USDE/EUR,USDE,EUR,online,5,1e-05,4,8,False,False,4,0.45,0.0001,0.0001,5.0,,,
1225,USDE/USDT,USDE,USDT,online,5,1e-05,4,8,False,False,4,0.5,0.0001,0.0001,5.0,,,
1226,USDE/USDC,USDE,USDC,online,5,1e-05,4,8,False,False,4,0.5,0.0001,0.0001,5.0,,,
1227,XPL/USD,XPL,USD,online,5,1e-05,4,5,True,True,4,0.5,0.0001,0.0001,55.0,0.33,880000.0,780000.0
1228,XPL/EUR,XPL,EUR,online,5,1e-05,4,5,False,True,4,0.45,0.0001,0.0001,55.0,,,
1229,FF/USD,FF,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,70.0,,,
1230,FF/EUR,FF,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,70.0,,,
1231,HOLO/USD,HOLO,USD,online,5,1e-05,4,5,False,False,4,0.5,0.0001,0.0001,95.0,,,
1232,HOLO/EUR,HOLO,EUR,online,5,1e-05,4,5,False,False,4,0.45,0.0001,0.0001,95.0,,,
1233,EDU/USD,EDU,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,90.0,,,
1234,EDU/EUR,EDU,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,90.0,,,
1235,SUKU/USD,SUKU,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,680.0,,,
1236,SUKU/EUR,SUKU,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,680.0,,,
1237,MXNB/USD,MXNB,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,85.0,,,
1238,2Z/USD,2Z,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,65.0,,,
1239,2Z/EUR,2Z,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,65.0,,,
1240,ALTHEA/USD,ALTHEA,USD,online,5,1e-05,4,5,False,False,4,0.5,0.0001,0.0001,120.0,,,
1241,ALTHEA/EUR,ALTHEA,EUR,online,5,1e-05,4,5,False,False,4,0.45,0.0001,0.0001,120.0,,,
1242,PIPE/USD,PIPE,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,280.0,,,
1243,PIPE/EUR,PIPE,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,280.0,,,
1244,ZBCN/USD,ZBCN,USD,online,5,1e-05,6,5,False,False,6,0.5,1e-06,1e-06,2100.0,,,
1245,ZBCN/EUR,ZBCN,EUR,online,5,1e-05,6,5,False,False,6,0.45,1e-06,1e-06,2100.0,,,
1246,SOMI/USD,SOMI,USD,online,5,1e-05,4,5,False,False,4,0.5,0.0001,0.0001,30.0,,,
1247,SOMI/EUR,SOMI,EUR,online,5,1e-05,4,5,False,False,4,0.45,0.0001,0.0001,30.0,,,
1248,SIGN/USD,SIGN,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,50.0,,,
1249,SIGN/EUR,SIGN,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,50.0,,,
1250,SYND/USD,SYND,USD,online,5,1e-05,5,5,False,False,5,0.5,1e-05,1e-05,140.0,,,
1251,SYND/EUR,SYND,EUR,online,5,1e-05,5,5,False,False,5,0.45,1e-05,1e-05,140.0,,,
1252,KGEN/USD,KGEN,USD,online,5,1e-05,4,5,False,False,4,0.5,0.0001,0.0001,30.0,,,
