,product_id,price,price_percentage_change_24h,volume_24h,volume_percentage_change_24h,base_increment,quote_increment,quote_min_size,quote_max_size,base_min_size,base_max_size,base_name,quote_name,watched,is_disabled,new,status,cancel_only,limit_only,post_only,trading_disabled,auction_mode,product_type,quote_currency_id,base_currency_id,fcm_trading_session_details,mid_market_price,alias,alias_to,base_display_symbol,quote_display_symbol,view_only,price_increment,display_name,product_venue,approximate_quote_24h_volume,new_at,market_cap,base_cbrn,quote_cbrn,product_cbrn,icon_color,icon_url,display_name_overwrite,is_alpha_testing,about_description,best_bid_price,best_ask_price
46,FARTCOIN-USDC,0.2039,-2.29995208433158,20148007.35,-29.93593169083827,0.01,0.0001,1,10000000,0.01,6699148.7805879955638943,Fartcoin,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,FARTCOIN,,,FARTCOIN-USD,[],FARTCOIN,USD,False,0.0001,FARTCOIN-USDC,CBE,4108178.7,2025-06-11T16:36:00.017Z,,,,,,,,False,,,
47,USDS-USDC,0.9999,0,4051308.09,66.25700856860639,0.01,0.0001,1,10000000,0.01,10013054.3567643050871581,USDS,USDC,False,False,False,online,False,True,False,False,False,SPOT,USDC,USDS,,,USDS-USD,[],USDS,USD,False,0.0001,USDS-USDC,CBE,4050902.96,2025-07-09T19:48:00.023Z,,,,,,,,False,,,
48,AVAX-USD,9.2509,-1.69075451647184,425091.04700594,-35.6334431161357,0.00000001,0.01,1,10000000,0.00000001,631600,Avalanche,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,AVAX,,,,['AVAX-USDC'],AVAX,USD,False,0.01,AVAX-USD,CBE,3932474.77,2023-01-01T00:00:00Z,,,,,,,,False,,,
49,AVAX-USDC,9.2509,-1.69075451647184,425091.04700594,-35.6334431161357,0.00000001,0.01,1,10000000,0.00000001,631600,Avalanche,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,AVAX,,,AVAX-USD,[],AVAX,USD,False,0.01,AVAX-USDC,CBE,3932474.77,2023-01-01T00:00:00Z,,,,,,,,False,,,
50,PEPE-USD,0.00000375,-1.31578947368421,1041927263027,-43.20099750757492,1,0.00000001,1,10000000,1,539937939102.8409944033184418,Pepe,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,PEPE,,,,['PEPE-USDC'],PEPE,USD,False,0.00000001,PEPE-USD,CBE,3907227.24,2024-11-13T14:35:00.034Z,,,,,,,,False,,,
51,PEPE-USDC,0.00000375,-1.31578947368421,1041927263027,-43.20099750757492,1,0.00000001,1,10000000,1,539937939102.8409944033184418,Pepe,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,PEPE,,,PEPE-USD,[],PEPE,USD,False,0.00000001,PEPE-USDC,CBE,3907227.24,2024-11-13T14:35:00.034Z,,,,,,,,False,,,
52,AERO-USD,0.38961,-7.44286596664608,9919353.8,21.72958276909571,0.1,0.00001,1,10000000,0.1,111212780.0026983375786586,Aerodrome Finance,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,AERO,,,,['AERO-USDC'],AERO,USD,False,0.00001,AERO-USD,CBE,3864679.43,2024-02-05T20:13:00.310Z,,,,,,,,False,,,
53,AERO-USDC,0.38961,-7.44286596664608,9919353.2,21.72957540593969,0.1,0.00001,1,10000000,0.1,111212780.0026983375786586,Aerodrome Finance,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,AERO,,,AERO-USD,[],AERO,USD,False,0.00001,AERO-USDC,CBE,3864679.2,2024-02-05T20:13:00.310Z,,,,,,,,False,,,
54,XLM-USDC,0.170514,0.4855913725028,21925199.79598009,-33.20311581805692,0.00000001,0.000001,1,10000000,0.00000001,116945400,Stellar Lumens,USDC,False,False,False,online,False,False,False,False,False,SPOT,USDC,XLM,,,XLM-USD,[],XLM,USD,False,0.000001,XLM-USDC,CBE,3738553.52,2023-01-01T00:00:00Z,,,,,,,,False,,,
55,XLM-USD,0.170509,0.48264482291237,21925721.98937809,-33.20152491388039,0.00000001,0.000001,1,10000000,0.00000001,116945400,Stellar Lumens,US Dollar,False,False,False,online,False,False,False,False,False,SPOT,USD,XLM,,,,['XLM-USDC'],XLM,USD,False,0.000001,XLM-USD,CBE,3738532.93,2023-01-01T00:00:00Z,,,,,,,,False,,,
