,id,base,base_name,quote,quote_name,fee,min_base_amount,min_quote_amount,max_quote_amount,amount_precision,precision,trade_status,sell_start,buy_start,type,trade_url,st_tag,slippage,market_order_max_stock,market_order_max_money,up_rate,down_rate,delisting_time,max_base_amount
2001,GMT_USDT,GMT,StepN,USDT,Tether,0.2,1,3,5000000,0,6,tradable,1596702900,1646917200,normal,https://www.gate.com/trade/GMT_USDT,False,0.1,20456870.1,300000,0.35,0.35,,
2002,KAS_USDT,KAS,Kaspa,USDT,Tether,0.2,0.01,3,5000000,2,5,tradable,1607313600,1679392800,normal,https://www.gate.com/trade/KAS_USDT,False,0.05,23062730.63,1000000,0.3,0.3,,
2003,MEZO_USDT,MEZO,Mezo,USDT,Tether,0.2,1,3,5000000,0,5,tradable,1577808000,1775052000,normal,https://www.gate.com/trade/MEZO_USDT,False,0.05,0,0,0.4,0.4,,
2004,PLUME_USDT,PLUME,Plume,USDT,Tether,0.2,1,3,5000000,0,6,tradable,1577808000,1737450000,normal,https://www.gate.com/trade/PLUME_USDT,False,0.08,31826861.87,500000,0.3,0.3,,
2005,GRASS_USDT,GRASS,Grass,USDT,Tether,0.2,0.01,3,5000000,2,4,tradable,1577808000,1730124000,normal,https://www.gate.com/trade/GRASS_USDT,False,0.08,1647446.46,500000,0.2,0.2,,
2006,CREO_USDT,CREO,Creo Engine,USDT,Tether,0.2,1,3,5000000,0,7,tradable,1607313600,1709899200,normal,https://www.gate.com/trade/CREO_USDT,False,0.1,98087297.69,200000,0.4,0.4,,
2007,RESOLV_USDT,RESOLV,Resolv,USDT,Tether,0.2,0.01,3,5000000,2,5,tradable,1577808000,1749560400,normal,https://www.gate.com/trade/RESOLV_USDT,False,0.08,7011147.72,500000,0.3,0.3,,
2008,WRT_USDT,WRT,WingRiders,USDT,Tether,0.2,1,3,5000000,0,6,tradable,1596702900,1657792800,normal,https://www.gate.com/trade/WRT_USDT,False,0.1,10953502,100000,0.4,0.4,,
2009,NEAR5S_USDT,NEAR5S,NEAR5xShort,USDT,Tether,0.2,0.01,3,5000000,2,5,tradable,1577808000,1763715600,normal,https://www.gate.com/trade/NEAR5S_USDT,False,0.08,104529.62,300000,0.6,0.6,,
2010,AXS5S_USDT,AXS5S,AXS5xShort,USDT,Tether,0.2,0.01,3,5000000,2,6,tradable,1582704000,1770883200,normal,https://www.gate.com/trade/AXS5S_USDT,False,0.1,769867.39,200000,0.6,0.6,,
2011,FOXSY_USDT,FOXSY,Foxsy AI,USDT,Tether,0.2,1,3,5000000,0,7,tradable,1609866000,1722420000,normal,https://www.gate.com/trade/FOXSY_USDT,False,0.1,56385678.04,200000,0.4,0.4,,
2012,ANIME3S_USDT,ANIME3S,ANIME3xShort,USDT,Tether,0.2,0.01,3,5000000,2,5,tradable,1577808000,1749459600,normal,https://www.gate.com/trade/ANIME3S_USDT,False,0.1,177888.46,200000,0.6,0.6,,
2013,AM_USDT,AM,Aston Martin Cognizant Fan Token,USDT,Tether,0.2,1,3,5000000,0,5,tradable,1608782400,1661515200,normal,https://www.gate.com/trade/AM_USDT,False,0.1,2045303.47,200000,0.4,0.4,,
2014,MY_USDT,MY,MetYa,USDT,Tether,0.2,0.1,3,5000000,1,5,tradable,1577808000,1762344000,normal,https://www.gate.com/trade/MY_USDT,False,0.1,3742374.91,500000,0.35,0.35,,
2015,YFI_USDT,YFI,YearnFinance,USDT,Tether,0.2,0.0001,3,5000000,4,1,tradable,1596098100,1596098100,normal,https://www.gate.com/trade/YFI_USDT,False,0.08,91.38,300000,0.35,0.35,,
