,base-currency,quote-currency,price-precision,amount-precision,symbol-partition,symbol,state,value-precision,min-order-amt,max-order-amt,min-order-value,limit-order-min-order-amt,limit-order-max-order-amt,limit-order-max-buy-amt,limit-order-max-sell-amt,buy-limit-must-less-than,sell-limit-must-greater-than,sell-market-min-order-amt,sell-market-max-order-amt,buy-market-max-order-value,market-sell-order-rate-must-less-than,market-buy-order-rate-must-less-than,api-trading,tags,leverage-ratio,super-margin-leverage-ratio,max-order-value,funding-leverage-ratio
1670,gve,btc,12,2,st,gvebtc,offline,8,1.0,450000000.0,0.0001,1.0,450000000.0,450000000.0,450000000.0,1.1,0.9,1.0,45000000.0,5.0,0.1,0.1,enabled,"hadax,had",,,,
1671,aave,btc,6,4,main,aavebtc,offline,8,0.0001,19956.0,0.0001,0.0001,19956.0,19956.0,19956.0,1.1,0.9,0.0001,1995.0,8.0,0.1,0.1,enabled,,,3.0,,
1672,xrp3l,usdt,8,4,main,xrp3lusdt,offline,8,0.01,24517569.6676,10.0,0.01,24517569.6676,24517569.6676,24517569.6676,1.5,0.5,0.01,24517569.6676,2500.0,0.1,0.1,enabled,"etp,nav,holdinglimit",,,2500.0,
1673,wxt,usdt,6,2,main,wxtusdt,offline,8,1.0,50000000.0,10.0,1.0,50000000.0,50000000.0,50000000.0,1.1,0.9,1.0,39752497.0,100000.0,0.1,0.1,enabled,st,,,,
1674,moodengeth,usdt,8,2,main,moodengethusdt,online,8,1.0,4803073967.0,10.0,1.0,4803073967.0,4803073967.0,4803073967.0,1.25,0.75,1.0,17727763218.0,100000.0,0.05,0.05,enabled,st,,,,
1675,bobbsc,usdt,10,2,main,bobbscusdt,online,8,1.0,10000000000000.0,10.0,1.0,10000000000000.0,10000000000000.0,10000000000000.0,1.25,0.75,1.0,3185595568052.0,50000.0,0.05,0.05,enabled,"st,innovate",,,,
1676,tybeng,usdt,7,4,main,tybengusdt,offline,8,1.0,269541778.0,10.0,1.0,269541778.0,269541778.0,269541778.0,1.1,0.9,1.0,26954177.0,100000.0,0.1,0.1,enabled,st,,,,
1677,zed,usdt,6,4,main,zedusdt,offline,8,0.1,5000000.0,10.0,0.1,5000000.0,5000000.0,5000000.0,1.1,0.9,0.1,500000.0,100000.0,0.1,0.1,enabled,,,,,
1678,fiu,usdt,6,4,main,fiuusdt,offline,8,0.1,66666666.0,10.0,0.1,66666666.0,66666666.0,66666666.0,1.1,0.9,0.1,6666666.0,100000.0,0.1,0.1,enabled,,,,,
1679,xaut,usdt,2,6,main,xautusdt,online,8,1e-05,561.0,1.0,1e-05,561.0,561.0,561.0,1.1,0.9,1e-05,20.0,100000.0,0.1,0.1,enabled,,3.0,,,
1680,donkey,usdt,6,4,main,donkeyusdt,online,8,1.0,78802206.0,10.0,1.0,78802206.0,78802206.0,78802206.0,1.25,0.75,1.0,48453695.0,50000.0,0.05,0.05,enabled,"st,innovate",,,,
1681,etc,usdc,4,4,main,etcusdc,offline,8,0.01,66845.0,10.0,0.01,66845.0,66845.0,66845.0,1.1,0.9,0.01,6684.0,100000.0,0.1,0.1,enabled,,,,,
1682,pendle,usdt,4,4,main,pendleusdt,online,8,0.01,806451.0,10.0,0.01,806451.0,806451.0,806451.0,1.1,0.9,0.01,70337.0,100000.0,0.1,0.1,enabled,,3.0,,,
1683,amp,usdt,6,4,main,ampusdt,online,8,0.1,35087719.0,10.0,0.1,35087719.0,35087719.0,35087719.0,1.1,0.9,0.1,109539458.0,100000.0,0.1,0.1,enabled,,,,,
1684,iic,eth,12,2,st,iiceth,offline,8,1.0,50000000.0,0.001,1.0,50000000.0,50000000.0,50000000.0,1.1,0.9,1.0,5000000.0,500.0,0.05,0.05,enabled,hadax,,,,
1685,eos,usdc,4,4,main,eosusdc,offline,8,0.1,733137.0,10.0,0.1,733137.0,733137.0,733137.0,1.1,0.9,0.1,73313.0,100000.0,0.1,0.1,enabled,,,,,
1686,ultima,usdt,2,6,main,ultimausdt,online,8,0.0001,133.3333,10.0,0.0001,133.3333,133.3333,133.3333,1.1,0.9,0.0001,12.0,50000.0,0.05,0.05,enabled,innovate,3.0,,,
1687,orb,usdt,6,4,main,orbusdt,offline,8,0.1,28571429.0,10.0,0.1,28571429.0,28571429.0,28571429.0,1.1,0.9,0.1,2857142.0,100000.0,0.1,0.1,enabled,,,,,
1688,trx,tusd,6,2,main,trxtusd,offline,8,1.0,17101617.0,10.0,1.0,17101617.0,17101617.0,17101617.0,1.1,0.9,1.0,1710161.0,100000.0,0.1,0.1,enabled,zerofee,,,,
1689,talk,usdt,6,4,st,talkusdt,offline,8,0.1,20000000.0,10.0,0.1,20000000.0,20000000.0,20000000.0,1.1,0.9,0.1,2000000.0,100000.0,0.1,0.1,enabled,,,,,
1690,vsys,ht,6,2,main,vsysht,offline,8,0.1,5600000.0,0.1,0.1,5600000.0,5600000.0,5600000.0,1.1,0.9,0.1,560000.0,40000.0,0.1,0.1,enabled,,,,,
1691,zjlt,btc,12,2,st,zjltbtc,offline,8,1.0,1000000000.0,0.0001,1.0,1000000000.0,1000000000.0,199694312.7647,1.1,0.9,1.0,199694312.7647,70.0,0.1,0.1,enabled,"hadax,abnormalmarket",,,,
