DATE,SPHY,JNK,SCYB,HYLB,USHY,HYG
46177,23.36,96.15,26.13,36.44,36.94,79.83
46178,23.27,95.73,26.02,36.27,36.78,79.43
46181,23.29,95.8,26.03,36.31,36.81,79.54
46182,23.31,95.92,26.07,36.34,36.85,79.62
46183,23.28,95.73,26.02,36.26,36.79,79.47
46184,23.4,96.28,26.15,36.49,36.97,79.94
46185,23.41,96.3,26.16,36.49,36.98,79.94
46188,23.44,96.45,26.21,36.53,37.03,80.04
46189,23.45,96.43,26.2,36.53,37.03,80.03
46190,23.37,96.06,26.11,36.42,36.93,79.73
46191,23.44,96.39,26.18,36.5,37.01,80.01
46195,23.42,96.3,26.17,36.49,36.99,79.94
46196,23.41,96.25,26.15,36.45,36.96,79.87
46197,23.4,96.19,26.14,36.46,36.96,79.85
46198,23.42,96.28,26.16,36.47,36.99,79.88
46199,23.41,96.22,26.15,36.44,36.95,79.83
46202,23.45,96.4,26.19,36.52,37.03,80.01
46203,23.44,96.37,26.18,36.52,37.02,79.97
46204,23.31,95.88,26.05,36.33,36.84,79.59
46205,23.34,95.99,26.08,36.39,36.89,79.71
46209,23.37,96.15,26.13,36.44,36.96,79.87
46210,23.35,96.05,26.1,36.41,36.93,79.76
46211,23.32,95.9,26.06,36.35,36.86,79.66
46212,23.34,96,26.1,36.39,36.9,79.75
46213,23.33,95.93,26.07,36.35,36.87,79.71
46216,23.28,95.76,26.01,36.26,36.8,79.52
46217,23.32,95.9,26.06,36.35,36.86,79.68
46218,23.360001,96.07,26.120001,36.41,36.915001,79.809998
46219,23.36,96.080002,26.1,36.419998,36.919998,79.800003
46220,23.33,95.980003,26.08,36.369999,36.869999,79.650002
46223,23.33,95.949997,26.07,36.380001,36.880001,79.68
46224,23.32,95.900002,26.049999,36.349998,36.860001,79.650002
46225,23.290001,95.75,26.009001,36.299999,36.799999,79.519997
46226,23.200001,95.400002,25.950001,36.169998,36.66,79.230003
46227,23.18,95.389999,25.92,36.169998,36.66,79.230003
46230,28.5,95.660004,22.83,36.290001,82.467293,79.470001
46231,,,,,,
