date,open,high,low,close,volume,average,barCount
2024-02-09,92.16,92.24,92.03,92.18,13124.0,92.133,4889
2024-02-12,92.3,92.39,92.16,92.16,10113.0,92.259,4041
2024-02-13,91.44,91.61,91.14,91.2,40406.0,91.242,5570
2024-02-14,91.21,91.77,91.21,91.77,39972.0,91.665,6296
2024-02-15,92.17,92.19,91.78,92.05,13014.0,91.997,4643
2024-02-16,91.53,91.74,91.41,91.68,15256.0,91.63,5065
2024-02-20,91.74,91.99,91.67,91.75,19331.0,91.857,7818
2024-02-21,91.76,91.84,91.25,91.26,21645.0,91.42,4702
2024-02-22,91.26,91.47,91.16,91.32,12815.0,91.296,5083
2024-02-23,91.4,91.94,91.35,91.8,52778.0,91.813,8531
2024-02-26,91.89,91.89,91.43,91.6,27241.0,91.684,6325
2024-02-27,91.52,91.74,91.4,91.47,29878.0,91.554,5891
2024-02-28,91.56,91.77,91.47,91.74,17336.0,91.658,5205
2024-02-29,91.9,92.17,91.87,91.91,27982.0,92.039,8090
2024-03-01,91.62,92.11,91.38,92.06,16224.0,91.947,8073
2024-03-04,91.83,91.95,91.66,91.78,35430.0,91.817,6550
2024-03-05,92.2,92.51,92.09,92.45,19390.0,92.358,5976
2024-03-06,92.65,92.82,92.51,92.6,26034.0,92.626,13344
2024-03-07,92.85,92.85,92.53,92.77,21292.0,92.622,5058
2024-03-08,93.06,93.08,92.84,92.93,32864.0,92.93,5905
2024-03-11,93.03,93.04,92.67,92.85,41485.0,92.784,21289
2024-03-12,92.74,92.76,92.44,92.56,8931.0,92.556,4416
2024-03-13,92.5,92.6,92.39,92.45,11529.0,92.476,6283
2024-03-14,92.12,92.12,91.67,91.73,22340.0,91.791,7525
2024-03-15,91.7,91.81,91.52,91.67,10920.0,91.704,4288
2024-03-18,91.61,91.68,91.43,91.56,9611.0,91.528,3709
2024-03-19,91.8,91.96,91.7,91.88,31426.0,91.861,4494
2024-03-20,92.04,92.41,91.93,92.21,20953.0,92.089,5802
2024-03-21,92.41,92.41,92.07,92.12,15380.0,92.176,6948
2024-03-22,92.65,92.65,92.37,92.41,14594.0,92.443,5769
2024-03-25,92.39,92.39,92.19,92.33,33993.0,92.272,10701
2024-03-26,92.39,92.52,92.24,92.5,57104.0,92.378,6229
2024-03-27,92.5,92.73,92.48,92.68,20198.0,92.608,7092
2024-03-28,92.55,92.61,92.37,92.42,15158.0,92.472,5702
2024-04-01,91.86,91.86,91.4,91.57,21060.0,91.536,7231
2024-04-02,91.24,91.58,91.13,91.51,16511.0,91.438,7304
2024-04-03,91.16,91.57,91.07,91.53,11713.0,91.403,5359
2024-04-04,91.81,91.81,91.53,91.77,9182.0,91.65,3913
2024-04-05,91.3,91.56,91.15,91.16,19800.0,91.406,7082
2024-04-08,91.1,91.17,90.91,91.06,10623.0,91.05,4452
2024-04-09,91.37,91.46,91.31,91.46,8966.0,91.403,3642
2024-04-10,90.61,90.64,90.05,90.1,33350.0,90.362,11737
2024-04-11,90.42,90.47,89.87,90.16,31247.0,90.118,6952
2024-04-12,90.44,90.69,90.41,90.49,23053.0,90.57,8060
2024-04-15,89.9,89.9,89.55,89.74,20287.0,89.726,7543
2024-04-16,89.24,89.49,89.18,89.41,14866.0,89.402,6013
2024-04-17,89.79,90.05,89.54,90.01,24807.0,89.84,10406
2024-04-18,90.04,90.04,89.56,89.72,23017.0,89.725,5174
2024-04-19,89.84,89.9,89.67,89.73,25359.0,89.786,5032
2024-04-22,89.69,89.98,89.69,89.79,14622.0,89.83,6038
2024-04-23,89.71,90.3,89.62,90.11,11882.0,90.088,5774
2024-04-24,89.86,89.88,89.63,89.82,22734.0,89.772,12544
2024-04-25,89.27,89.52,89.16,89.44,18076.0,89.431,8212
2024-04-26,89.73,89.88,89.65,89.8,17782.0,89.793,8591
2024-04-29,89.97,90.16,89.91,90.02,13623.0,90.049,4759
2024-04-30,89.59,89.81,89.46,89.54,19217.0,89.629,7318
2024-05-01,89.45,90.06,89.33,89.76,16773.0,89.591,8185
2024-05-02,89.66,90.22,89.61,90.16,14443.0,90.021,7091
2024-05-03,90.87,90.87,90.4,90.67,12125.0,90.647,5313
2024-05-06,90.75,90.8,90.57,90.6,19286.0,90.681,9400
2024-05-07,91.08,91.24,90.95,91.01,39684.0,91.107,8657
2024-05-08,90.89,90.92,90.77,90.82,36883.0,90.854,8459
2024-05-09,90.79,91.22,90.73,91.16,23397.0,91.05,6923
2024-05-10,90.91,90.92,90.75,90.79,17526.0,90.805,7467
2024-05-13,91.15,91.17,90.94,90.96,10232.0,91.065,4358
2024-05-14,91.29,91.43,91.16,91.28,16085.0,91.284,7214
2024-05-15,92.0,92.15,91.86,92.03,19653.0,92.035,4208
2024-05-16,92.14,92.14,91.67,91.68,24130.0,91.853,8825
2024-05-17,91.53,91.7,91.34,91.35,13991.0,91.46,7066
2024-05-20,91.32,91.35,91.17,91.2,8881.0,91.263,3723
2024-05-21,91.49,91.58,91.42,91.47,13148.0,91.492,7481
2024-05-22,91.16,91.49,91.16,91.26,15535.0,91.346,5517
2024-05-23,91.3,91.34,90.84,90.9,19726.0,90.943,8386
2024-05-24,90.92,91.11,90.8,91.06,6623.0,91.039,2654
2024-05-28,91.14,91.18,90.54,90.6,12949.0,90.828,4545
2024-05-29,90.37,90.37,90.03,90.25,12153.0,90.212,4744
2024-05-30,90.63,90.79,90.5,90.71,10100.0,90.673,3817
2024-05-31,90.96,91.12,90.86,91.01,17079.0,90.949,5256
2024-06-03,90.85,91.37,90.85,91.3,12719.0,91.202,4698
2024-06-04,91.5,91.8,91.46,91.74,9514.0,91.642,3932
2024-06-05,91.78,92.05,91.61,91.98,10486.0,91.88,4061
2024-06-06,91.88,92.1,91.8,92.01,22277.0,91.971,6765
2024-06-07,91.39,91.41,91.17,91.22,13747.0,91.277,5407
2024-06-10,91.16,91.16,90.94,91.07,47949.0,91.085,4293
2024-06-11,91.22,91.58,91.13,91.54,11412.0,91.378,4735
2024-06-12,92.35,92.57,92.05,92.09,35466.0,92.298,7919
2024-06-13,92.51,92.64,92.26,92.52,15335.0,92.494,4572
2024-06-14,92.66,92.77,92.54,92.61,9097.0,92.636,3084
2024-06-17,92.37,92.37,92.09,92.24,10259.0,92.202,4142
2024-06-18,92.39,92.68,92.28,92.64,15951.0,92.562,5327
2024-06-20,92.25,92.56,92.22,92.52,9244.0,92.426,3707
2024-06-21,92.67,92.7,92.37,92.55,9141.0,92.515,4073
2024-06-24,92.63,92.67,92.51,92.58,8513.0,92.574,3466
2024-06-25,92.54,92.57,92.4,92.51,7574.0,92.496,2825
2024-06-26,92.15,92.19,92.06,92.07,18487.0,92.11,5644
2024-06-27,92.21,92.4,92.21,92.29,10000.0,92.307,3495
2024-06-28,92.56,92.59,91.8,91.81,16727.0,92.072,6556
2024-07-01,90.96,91.22,90.74,90.85,38094.0,90.853,8958
2024-07-02,91.23,91.29,91.02,91.13,12142.0,91.153,5505
2024-07-03,91.4,91.79,91.29,91.64,10229.0,91.616,5419
2024-07-05,92.09,92.29,91.97,92.24,7648.0,92.172,3097
2024-07-08,92.21,92.23,92.05,92.2,7805.0,92.17,3513
2024-07-09,92.2,92.27,91.97,92.23,18488.0,92.136,4833
2024-07-10,92.4,92.42,92.18,92.32,12308.0,92.295,5104
2024-07-11,92.89,93.06,92.77,92.81,12030.0,92.912,4194
2024-07-12,92.93,93.14,92.88,93.12,14668.0,93.0,6070
2024-07-15,92.86,93.03,92.73,92.77,10232.0,92.847,3680
2024-07-16,92.88,93.1,92.77,93.09,16348.0,92.94,4877
2024-07-17,93.03,93.35,92.9,93.25,21988.0,93.152,4549
2024-07-18,93.19,93.28,92.98,93.0,17456.0,93.135,6155
2024-07-19,92.99,92.99,92.7,92.81,26780.0,92.796,6056
2024-07-22,92.83,92.96,92.63,92.79,9963.0,92.777,4292
2024-07-23,92.88,93.0,92.71,92.71,40453.0,92.899,5454
2024-07-24,92.91,92.99,92.55,92.56,11854.0,92.725,5002
2024-07-25,92.64,92.9,92.62,92.73,17911.0,92.767,3995
2024-07-26,93.11,93.15,92.96,93.12,7356.0,93.062,3043
2024-07-29,93.32,93.32,93.12,93.27,5792.0,93.202,1847
2024-07-30,93.22,93.45,93.12,93.37,9955.0,93.302,3636
2024-07-31,93.46,93.93,93.34,93.92,9227.0,93.601,4013
2024-08-01,94.34,94.34,93.83,94.02,14945.0,94.064,6752
2024-08-02,94.79,95.27,94.24,95.22,13763.0,95.069,6003
2024-08-05,95.7,95.85,94.83,95.08,24060.0,95.163,9850
2024-08-06,94.95,94.95,94.4,94.5,24970.0,94.59,6502
2024-08-07,94.41,94.46,94.1,94.27,17394.0,94.313,6906
2024-08-08,94.02,94.22,93.91,94.09,10565.0,94.097,4041
2024-08-09,94.52,94.52,94.35,94.38,8905.0,94.437,3224
2024-08-12,94.34,94.64,94.27,94.54,13770.0,94.524,6051
2024-08-13,94.79,94.87,94.72,94.81,34834.0,94.813,5001
2024-08-14,94.93,95.11,94.87,94.91,15555.0,94.983,5242
2024-08-15,94.43,94.66,94.32,94.63,18293.0,94.52,5789
2024-08-16,94.79,94.86,94.56,94.84,11227.0,94.754,2969
2024-08-19,94.82,95.06,94.75,94.95,8324.0,94.95,2553
2024-08-20,95.15,95.29,95.04,95.19,14466.0,95.17,4946
2024-08-21,95.35,95.65,95.15,95.4,12517.0,95.48,4390
2024-08-22,95.34,95.34,95.03,95.08,14550.0,95.11,5150
2024-08-23,95.25,95.61,95.15,95.55,14119.0,95.518,4152
2024-08-26,95.76,95.77,95.47,95.49,17736.0,95.54,5406
2024-08-27,95.39,95.63,95.3,95.55,12677.0,95.504,3389
2024-08-28,95.66,95.66,95.46,95.52,13686.0,95.541,6062
2024-08-29,95.4,95.44,95.22,95.3,11285.0,95.356,3463
2024-08-30,95.28,95.45,95.11,95.24,14177.0,95.27,2815
2024-09-03,95.1,95.35,95.1,95.34,14535.0,95.196,5962
2024-09-04,95.32,95.62,95.24,95.6,15345.0,95.473,6834
2024-09-05,95.84,95.87,95.54,95.82,17145.0,95.732,5539
2024-09-06,96.0,96.29,95.75,95.91,17812.0,95.98,6482
2024-09-09,95.94,96.16,95.82,96.02,20931.0,96.058,6789
2024-09-10,96.09,96.58,96.09,96.51,18992.0,96.355,5113
2024-09-11,96.46,96.72,96.38,96.54,9908.0,96.518,4305
2024-09-12,96.48,96.52,96.24,96.27,12330.0,96.346,5740
2024-09-13,96.53,96.63,96.42,96.5,13823.0,96.534,5396
2024-09-16,96.61,96.76,96.56,96.66,36075.0,96.667,3957
2024-09-17,96.59,96.74,96.53,96.61,22490.0,96.617,7324
2024-09-18,96.44,96.64,96.17,96.17,17304.0,96.324,5945
2024-09-19,96.1,96.34,96.04,96.23,17446.0,96.207,5586
2024-09-20,96.21,96.32,96.0,96.15,12640.0,96.18,4158
2024-09-23,96.03,96.28,95.84,96.08,18068.0,96.102,6569
2024-09-24,96.03,96.27,95.87,96.25,34599.0,96.163,4301
2024-09-25,96.16,96.16,95.93,95.94,35964.0,96.042,7751
2024-09-26,96.09,96.09,95.74,96.0,18651.0,95.931,6684
2024-09-27,96.21,96.25,95.99,96.21,24772.0,96.141,7356
2024-09-30,96.14,96.14,95.71,95.81,17884.0,95.899,7610
2024-10-01,95.84,96.0,95.71,95.81,14446.0,95.862,6265
2024-10-02,95.55,95.8,95.53,95.68,30939.0,95.688,8606
2024-10-03,95.44,95.54,95.21,95.21,30372.0,95.35,9184
2024-10-04,94.57,94.72,94.45,94.51,17936.0,94.578,7573
2024-10-07,94.18,94.36,94.1,94.28,12283.0,94.272,4816
2024-10-08,94.32,94.5,94.21,94.47,12266.0,94.403,4648
2024-10-09,94.36,94.5,94.16,94.25,50417.0,94.34,9706
2024-10-10,94.29,94.32,93.99,94.21,25539.0,94.218,5723
2024-10-11,94.42,94.42,94.05,94.23,16082.0,94.249,6234
2024-10-14,94.35,94.35,93.76,94.17,5676.0,94.048,2040
2024-10-15,94.4,94.53,94.35,94.47,20594.0,94.418,8784
2024-10-16,94.86,94.86,94.47,94.54,23766.0,94.535,6500
2024-10-17,94.23,94.31,94.03,94.06,15871.0,94.101,6792
2024-10-18,94.32,94.33,94.1,94.13,24919.0,94.193,6334
2024-10-21,94.04,94.04,93.41,93.42,19857.0,93.562,7222
2024-10-22,93.68,93.72,93.42,93.45,21278.0,93.54,7177
