,from date,to date,from PFFD price,to PFFD price,PFFD cod,PFFD pct cod,from PFF price,to PFF price,PFF cod,PFF pct cod,to PFF / to PFFD,to PFF / to PFF,PFF / PFFD moving avg,yday PFF / PFFD moving avg,to PFFD unit price,PFF / PFF moving avg,yday PFF / PFF moving avg,to PFF unit price,PFFD unit price pct diff,PFF unit price pct diff,unit price pct diff
68,2021-11-26,2021-11-29,25.27,25.36,0.0899999999999998,0.0035552081689223,38.37,38.58,0.2100000000000008,0.0054581032187219,1.5212933753943216,1.0,1.5167208335992348,1.5164551636743397,38.457302950781255,1.0,1.0,38.58,-0.0031853958606289394,0.0,-0.0031853958606289394
69,2021-11-29,2021-11-30,25.36,25.25,-0.1099999999999994,-0.0043469738476563,38.58,38.41,-0.1700000000000017,-0.0044161651197696,1.521188118811881,1.0,1.5172904201007202,1.5167208335992348,38.29720104838068,1.0,1.0,38.41,-0.0029410285184073757,0.0,-0.0029410285184073757
70,2021-11-30,2021-12-01,25.25,25.28,0.0300000000000011,0.0011874135572878,38.41,38.32,-0.0899999999999963,-0.0023458892551534,1.5158227848101264,1.0,1.5175149054802968,1.5172904201007202,38.35710182014621,1.0,1.0,38.32,0.0009677419245396431,0.0,0.0009677419245396431
71,2021-12-01,2021-12-02,25.28,25.44,0.1600000000000001,0.0063091691932647,38.32,38.51,0.1899999999999977,0.0049459947241575,1.51375786163522,1.0,1.5174796979064467,1.5175149054802968,38.60557919541875,1.0,1.0,38.51,0.002478856940668612,0.0,0.002478856940668612
72,2021-12-02,2021-12-03,25.44,25.24,-0.2000000000000028,-0.0078927007989091,38.51,38.29,-0.2199999999999988,-0.0057291823376143,1.5170364500792393,1.0,1.5175039607491307,1.5174796979064467,38.301187575158714,1.0,1.0,38.29,0.00029213740098506995,0.0,0.00029213740098506995
73,2021-12-03,2021-12-06,25.24,25.36,0.120000000000001,0.0047430918960128,38.29,38.52,0.2300000000000039,0.0059888214407216,1.5189274447949528,1.0,1.5176618714504169,1.5175039607491307,38.48390044459796,1.0,1.0,38.52,-0.0009376033639390211,0.0,-0.0009376033639390211
74,2021-12-06,2021-12-07,25.36,25.51,0.1500000000000021,0.0058974025846949,38.52,38.8,0.279999999999994,0.0072426596993026,1.520972167777342,1.0,1.5179494008412107,1.5176618714504169,38.71555434070014,1.0,1.0,38.8,-0.0021788063937563016,0.0,-0.0021788063937563016
75,2021-12-07,2021-12-08,25.51,25.48,-0.0300000000000011,-0.0011767014497574,38.8,38.85,0.0500000000000042,0.0012878301844289,1.5247252747252749,1.0,1.5184526398861162,1.5179494008412107,38.67735073343405,1.0,1.0,38.85,-0.004453900470981315,0.0,-0.004453900470981315
76,2021-12-08,2021-12-09,25.48,25.42,-0.0599999999999987,-0.0023575649426545,38.85,38.65,-0.2000000000000028,-0.0051613017802255,1.5204563335955938,1.0,1.5187550515814725,1.5184526398861162,38.599066105905074,1.0,1.0,38.65,-0.0013186930028658518,0.0,-0.0013186930028658518
77,2021-12-09,2021-12-10,25.42,25.42,0.0,0.0,38.65,38.69,0.0399999999999991,0.0010343936789905,1.5220298977183315,1.0,1.5190180129260473,1.5187550515814725,38.60675341120103,1.0,1.0,38.69,-0.0021539487057440796,0.0,-0.0021539487057440796
