my_fi_name,price_screen_bid,price_screen_ask,time
FBTC,56.35,56.36,2026-07-23_15-39-32
GBTC,50.18,50.19,2026-07-23_15-39-32
HODL,18.31,18.32,2026-07-23_15-39-32
IBIT,36.66,36.67,2026-07-23_15-39-32
ARKB,21.44,21.45,2026-07-23_15-54-32
BITB,35.09,35.1,2026-07-23_15-54-32
BRRR,18.23,18.24,2026-07-23_15-54-32
BTC,28.59,28.6,2026-07-23_15-54-32
BTCW,68.25,68.32,2026-07-23_15-54-32
EZBC,37.35,37.36,2026-07-23_15-54-32
FBTC,56.26,56.27,2026-07-23_15-54-32
GBTC,50.11,50.12,2026-07-23_15-54-32
HODL,18.28,18.29,2026-07-23_15-54-32
IBIT,36.61,36.62,2026-07-23_15-54-32
ARKB,21.53,21.55,2026-07-23_16-09-32
BITB,35.25,35.27,2026-07-23_16-09-32
BRRR,18.3,18.33,2026-07-23_16-09-32
BTC,28.72,28.75,2026-07-23_16-09-32
BTCW,68.27,68.92,2026-07-23_16-09-32
EZBC,37.38,37.62,2026-07-23_16-09-32
FBTC,56.51,56.55,2026-07-23_16-09-32
GBTC,50.32,50.36,2026-07-23_16-09-32
HODL,18.37,18.39,2026-07-23_16-09-32
IBIT,36.78,36.79,2026-07-23_16-09-32
ARKB,21.57,21.59,2026-07-23_16-24-32
BITB,35.31,35.33,2026-07-23_16-24-32
BRRR,18.33,18.36,2026-07-23_16-24-32
BTC,28.76,28.79,2026-07-23_16-24-32
BTCW,68.38,68.91,2026-07-23_16-24-32
EZBC,37.41,37.66,2026-07-23_16-24-32
FBTC,56.6,56.64,2026-07-23_16-24-32
GBTC,50.41,50.44,2026-07-23_16-24-32
HODL,18.4,18.42,2026-07-23_16-24-32
IBIT,36.83,36.85,2026-07-23_16-24-32
ARKB,21.57,21.62,2026-07-23_18-26-40
BITB,35.31,35.37,2026-07-23_18-26-40
BRRR,18.34,18.39,2026-07-23_18-26-40
BTC,28.72,28.83,2026-07-23_18-26-40
BTCW,68.44,69.01,2026-07-23_18-26-40
EZBC,37.44,37.73,2026-07-23_18-26-40
FBTC,56.53,56.73,2026-07-23_18-26-40
GBTC,50.41,50.5,2026-07-23_18-26-40
HODL,18.4,18.45,2026-07-23_18-26-40
IBIT,36.87,36.9,2026-07-23_18-26-40
ARKB,21.57,21.62,2026-07-23_18-41-40
BITB,35.32,35.38,2026-07-23_18-41-40
BRRR,18.34,18.39,2026-07-23_18-41-40
BTC,28.69,28.85,2026-07-23_18-41-40
BTCW,68.45,69.09,2026-07-23_18-41-40
EZBC,37.45,37.73,2026-07-23_18-41-40
