date,close,symbol,time
2026-05-04,46.47,EZBC,14:00:00
2026-05-04,46.4,EZBC,14:15:00
2026-05-04,46.34,EZBC,14:30:00
2026-05-04,46.32,EZBC,14:45:00
2026-05-04,46.3,EZBC,15:00:00
2026-05-04,46.19,EZBC,15:15:00
2026-05-04,46.25,EZBC,15:30:00
2026-05-04,46.27,EZBC,15:45:00
2026-05-05,47.08,EZBC,09:30:00
2026-05-05,47.05,EZBC,09:45:00
2026-05-05,46.88,EZBC,10:00:00
2026-05-05,47.07,EZBC,10:15:00
2026-05-05,46.97,EZBC,10:30:00
2026-05-05,47.03,EZBC,10:45:00
2026-05-05,47.16,EZBC,11:00:00
2026-05-05,47.2,EZBC,11:15:00
2026-05-05,47.21,EZBC,11:30:00
2026-05-05,47.16,EZBC,11:45:00
2026-05-05,47.11,EZBC,12:00:00
2026-05-05,47.08,EZBC,12:15:00
2026-05-05,46.88,EZBC,12:30:00
2026-05-05,47.01,EZBC,12:45:00
2026-05-05,47.02,EZBC,13:00:00
2026-05-05,47.06,EZBC,13:15:00
2026-05-05,47.0,EZBC,13:30:00
2026-05-05,46.98,EZBC,13:45:00
2026-05-05,47.16,EZBC,14:00:00
2026-05-05,47.09,EZBC,14:15:00
2026-05-05,47.14,EZBC,14:30:00
2026-05-05,47.13,EZBC,14:45:00
2026-05-05,47.1,EZBC,15:00:00
2026-05-05,47.14,EZBC,15:15:00
2026-05-05,47.21,EZBC,15:30:00
2026-05-05,47.17,EZBC,15:45:00
2026-05-06,47.34,EZBC,09:30:00
2026-05-06,47.2,EZBC,09:45:00
2026-05-06,47.07,EZBC,10:00:00
2026-05-06,47.16,EZBC,10:15:00
2026-05-06,47.33,EZBC,10:30:00
2026-05-06,47.11,EZBC,10:45:00
2026-05-06,47.05,EZBC,11:00:00
2026-05-06,47.19,EZBC,11:15:00
2026-05-06,47.16,EZBC,11:30:00
2026-05-06,47.22,EZBC,11:45:00
2026-05-06,47.25,EZBC,12:00:00
2026-05-06,47.09,EZBC,12:15:00
2026-05-06,47.2,EZBC,12:30:00
2026-05-06,47.16,EZBC,12:45:00
2026-05-06,47.2,EZBC,13:00:00
2026-05-06,47.08,EZBC,13:15:00
2026-05-06,47.12,EZBC,13:30:00
2026-05-06,47.06,EZBC,13:45:00
2026-05-06,47.09,EZBC,14:00:00
2026-05-06,47.07,EZBC,14:15:00
2026-05-06,47.02,EZBC,14:30:00
2026-05-06,47.01,EZBC,14:45:00
2026-05-06,46.95,EZBC,15:00:00
2026-05-06,47.0,EZBC,15:15:00
2026-05-06,47.06,EZBC,15:30:00
2026-05-06,47.08,EZBC,15:45:00
2026-05-07,46.56,EZBC,09:30:00
2026-05-07,46.53,EZBC,09:45:00
2026-05-07,46.62,EZBC,10:00:00
2026-05-07,46.47,EZBC,10:15:00
2026-05-07,46.31,EZBC,10:30:00
2026-05-07,46.32,EZBC,10:45:00
2026-05-07,46.31,EZBC,11:00:00
2026-05-07,46.13,EZBC,11:15:00
2026-05-07,46.2,EZBC,11:30:00
2026-05-07,46.16,EZBC,11:45:00
2026-05-07,46.12,EZBC,12:00:00
2026-05-07,46.21,EZBC,12:15:00
2026-05-07,46.16,EZBC,12:30:00
2026-05-07,46.1,EZBC,12:45:00
2026-05-07,46.15,EZBC,13:00:00
2026-05-07,46.04,EZBC,13:15:00
2026-05-07,46.16,EZBC,13:30:00
2026-05-07,46.29,EZBC,13:45:00
2026-05-07,46.31,EZBC,14:00:00
2026-05-07,46.3,EZBC,14:15:00
2026-05-07,46.3,EZBC,14:30:00
2026-05-07,46.35,EZBC,14:45:00
2026-05-07,46.33,EZBC,15:00:00
2026-05-07,46.2,EZBC,15:15:00
2026-05-07,46.3,EZBC,15:30:00
2026-05-07,46.31,EZBC,15:45:00
2026-05-08,45.98,EZBC,09:30:00
2026-05-08,46.0,EZBC,09:45:00
2026-05-08,46.17,EZBC,10:00:00
2026-05-08,46.26,EZBC,10:15:00
2026-05-08,46.34,EZBC,10:30:00
2026-05-08,46.3,EZBC,10:45:00
2026-05-08,46.15,EZBC,11:00:00
2026-05-08,46.05,EZBC,11:15:00
2026-05-08,46.2,EZBC,11:30:00
2026-05-08,46.31,EZBC,11:45:00
2026-05-08,46.2,EZBC,12:00:00
2026-05-08,46.19,EZBC,12:15:00
2026-05-08,46.09,EZBC,12:30:00
2026-05-08,46.09,EZBC,12:45:00
2026-05-08,46.13,EZBC,13:00:00
2026-05-08,46.24,EZBC,13:15:00
2026-05-08,46.31,EZBC,13:30:00
2026-05-08,46.26,EZBC,13:45:00
2026-05-08,46.35,EZBC,14:00:00
2026-05-08,46.37,EZBC,14:15:00
2026-05-08,46.32,EZBC,14:30:00
2026-05-08,46.28,EZBC,14:45:00
2026-05-08,46.27,EZBC,15:00:00
2026-05-08,46.25,EZBC,15:15:00
2026-05-08,46.29,EZBC,15:30:00
2026-05-08,46.34,EZBC,15:45:00
2026-05-11,46.83,EZBC,09:30:00
2026-05-11,46.84,EZBC,09:45:00
2026-05-11,46.88,EZBC,10:00:00
2026-05-11,46.64,EZBC,10:15:00
2026-05-11,46.67,EZBC,10:30:00
2026-05-11,46.76,EZBC,10:45:00
2026-05-11,46.8,EZBC,11:00:00
2026-05-11,47.0,EZBC,11:15:00
2026-05-11,46.92,EZBC,11:30:00
2026-05-11,47.05,EZBC,11:45:00
2026-05-11,47.27,EZBC,12:00:00
2026-05-11,47.26,EZBC,12:15:00
2026-05-11,47.15,EZBC,12:30:00
2026-05-11,47.14,EZBC,12:45:00
2026-05-11,47.1,EZBC,13:00:00
2026-05-11,47.17,EZBC,13:15:00
2026-05-11,47.37,EZBC,13:30:00
2026-05-11,47.36,EZBC,13:45:00
2026-05-11,47.37,EZBC,14:00:00
2026-05-11,47.41,EZBC,14:15:00
2026-05-11,47.36,EZBC,14:30:00
2026-05-11,47.3,EZBC,14:45:00
2026-05-11,47.34,EZBC,15:00:00
2026-05-11,47.33,EZBC,15:15:00
2026-05-11,47.38,EZBC,15:30:00
2026-05-11,47.36,EZBC,15:45:00
2026-05-12,46.66,EZBC,09:30:00
2026-05-12,46.48,EZBC,09:45:00
2026-05-12,46.63,EZBC,10:00:00
2026-05-12,46.59,EZBC,10:15:00
2026-05-12,46.69,EZBC,10:30:00
2026-05-12,46.52,EZBC,10:45:00
