,from date,to date,from SCHH price,to SCHH price,SCHH cod,SCHH pct cod,from USRT price,to USRT price,USRT cod,USRT pct cod,to USRT / to SCHH,to USRT / to USRT,USRT / SCHH moving avg,yday USRT / SCHH moving avg,to SCHH unit price,USRT / USRT moving avg,yday USRT / USRT moving avg,to USRT unit price,SCHH unit price pct diff,USRT unit price pct diff,unit price pct diff
1122,2026-02-10,2026-02-11,22.35,22.46,0.1099999999999994,0.0049096282507192,61.42,61.49,0.0700000000000002,0.0011390449527019,2.7377560106856635,1.0,2.737065205717985,2.7370306507152162,61.47370841506376,1.0,1.0,61.49,-0.00026498200552925975,0.0,-0.00026498200552925975
1123,2026-02-11,2026-02-12,22.46,22.5,0.0399999999999991,0.0017793599000773,61.49,61.53,0.0399999999999991,0.0006503007870206,2.7346666666666666,1.0,2.737305758427192,2.737065205717985,61.58396712865466,1.0,1.0,61.53,0.0008767020244728753,0.0,0.0008767020244728753
1124,2026-02-12,2026-02-13,22.5,22.81,0.3099999999999987,0.0136837270859221,61.53,62.29,0.759999999999998,0.0122760385136552,2.7308198158702326,1.0,2.737487323560676,2.737305758427192,62.43794434972424,1.0,1.0,62.29,0.0023722738296946748,0.0,0.0023722738296946748
1125,2026-02-13,2026-02-17,22.81,23.06,0.25,0.0109004785446162,62.29,62.91,0.6199999999999974,0.009904234315884,2.728100607111882,1.0,2.7375016860297188,2.737487323560676,63.126457681309184,1.0,1.0,62.91,0.003434845728105607,0.0,0.003434845728105607
1126,2026-02-17,2026-02-18,23.06,22.67,-0.389999999999997,-0.0170570503214751,62.91,62.04,-0.8699999999999974,-0.0139257952736002,2.7366563740626377,1.0,2.737683341942153,2.7375016860297188,62.059163222293726,1.0,1.0,62.04,0.0003088372547962273,0.0,0.0003088372547962273
1127,2026-02-18,2026-02-19,22.67,22.64,-0.0300000000000011,-0.0013242111844554,62.04,62.05,0.009999999999998,0.0001611733422781,2.7407243816254416,1.0,2.73806682193336,2.737683341942153,61.98115086157034,1.0,1.0,62.05,-0.0011101911902440603,0.0,-0.0011101911902440603
1128,2026-02-19,2026-02-20,22.64,22.82,0.1799999999999997,0.0079190910989474,62.05,62.48,0.4299999999999997,0.0069059938808142,2.73794916739702,1.0,2.738263152483662,2.73806682193336,62.48268487651927,1.0,1.0,62.48,4.297085201628204e-05,0.0,4.297085201628204e-05
1129,2026-02-20,2026-02-23,22.82,22.88,0.0599999999999987,0.0026258220776675,62.48,62.66,0.1799999999999997,0.002876779992615,2.738636363636364,1.0,2.7384626687433054,2.738263152483662,62.65146092882618,1.0,1.0,62.66,-0.00013628555798068598,0.0,-0.00013628555798068598
1130,2026-02-23,2026-02-24,22.88,22.91,0.0300000000000011,0.0013103299538071,62.66,62.76,0.1000000000000014,0.0015946423407861,2.739415102575294,1.0,2.7388262810149273,2.7384626687433054,62.738179740909125,1.0,1.0,62.76,-0.0003477382597229836,0.0,-0.0003477382597229836
1131,2026-02-24,2026-02-25,22.91,22.85,-0.0599999999999987,-0.0026223791251903,62.76,62.81,0.0500000000000042,0.0007963686014575,2.748796498905908,1.0,2.7396996428319933,2.7388262810149273,62.58218052119109,1.0,1.0,62.81,-0.0036337150935109217,0.0,-0.0036337150935109217
1132,2026-02-25,2026-02-26,22.85,22.98,0.129999999999999,0.0056731550803959,62.81,63.24,0.4299999999999997,0.0068227158749819,2.751958224543081,1.0,2.7406641257590527,2.7396996428319933,62.958297792279204,1.0,1.0,63.24,-0.004464444933710848,0.0,-0.004464444933710848
1133,2026-02-26,2026-02-27,22.98,23.03,0.0500000000000007,0.0021734414119842,63.24,63.2,-0.0399999999999991,-0.0006327111884595,2.7442466348241426,1.0,2.7412534453393613,2.7406641257590527,63.11749481623099,1.0,1.0,63.2,-0.001306314626041027,0.0,-0.001306314626041027
1134,2026-02-27,2026-03-02,23.03,23.13,0.0999999999999978,0.0043327624107539,63.2,63.44,0.2399999999999948,0.0037902761737808,2.7427583225248595,1.0,2.7413759481073603,2.7412534453393613,63.405192190699424,1.0,1.0,63.44,-0.0005488234843294223,0.0,-0.0005488234843294223
1135,2026-03-02,2026-03-03,23.13,22.99,-0.1400000000000005,-0.0060711374682576,63.44,63.01,-0.4299999999999997,-0.0068011333726283,2.740756850804698,1.0,2.74143781325711,2.7413759481073603,63.02423304698821,1.0,1.0,63.01,0.00022586001762566507,0.0,0.00022586001762566507
1136,2026-03-03,2026-03-04,22.99,23.03,0.0400000000000027,0.0017383750575036,63.01,63.14,0.1300000000000025,0.0020610391758814,2.7416413373860182,1.0,2.741594997497303,2.74143781325711,63.13531283931125,1.0,1.0,63.14,-7.423716616513792e-05,0.0,-7.423716616513792e-05
1137,2026-03-04,2026-03-05,23.03,22.79,-0.240000000000002,-0.010475870575001,63.14,62.53,-0.6099999999999994,-0.009708041550639,2.743747257569109,1.0,2.7417906783055184,2.741594997497303,62.48094999296354,1.0,1.0,62.53,-0.0007847314104295755,0.0,-0.0007847314104295755
1138,2026-03-05,2026-03-06,22.79,22.56,-0.2300000000000004,-0.0101434166277347,62.53,61.81,-0.7199999999999989,-0.0115812779080246,2.7398049645390072,1.0,2.7413040318929123,2.7417906783055184,61.85479770257249,1.0,1.0,61.81,0.0007245021277562595,0.0,0.0007245021277562595
1139,2026-03-06,2026-03-09,22.56,22.59,0.0300000000000011,0.0013289038500537,61.81,61.93,0.1199999999999974,0.0019395512787875,2.741478530323152,1.0,2.7408495105255923,2.7413040318929123,61.92605808046089,1.0,1.0,61.93,-6.365323750062402e-05,0.0,-6.365323750062402e-05
1140,2026-03-09,2026-03-10,22.59,22.6,0.0100000000000015,0.0004425757983283,61.93,62.0,0.0700000000000002,0.001129670095122,2.743362831858407,1.0,2.740568718845703,2.7408495105255923,61.94319893787839,1.0,1.0,62.0,-0.0009165660816386418,0.0,-0.0009165660816386418
