BNDX_price,IAGG_price,BNDX_price_chg,IAGG_price_chg,IAGG/BNDX,IAGG/IAGG,IAGG/BNDX_moving_avg,IAGG/IAGG_moving_avg,IAGG/BNDX_prev_moving_avg,IAGG/IAGG_prev_moving_avg,BNDX_scaled_price,IAGG_scaled_price,BNDX_scaled_comm,IAGG_scaled_comm,BNDX_scaled_price_minus_comm,IAGG_scaled_price_minus_comm,BNDX_scaled_price_plus_comm,IAGG_scaled_price_plus_comm,min_price_plus_comm,max_price_minus_comm,tgt_max-min,tgt_pct_diff,tgt_min_price_etf,tgt_max_price_etf,date,ex_div_date
48.77,50.17,-0.18999999999999773,-0.01999999999999602,1.0287061718269428,1.0,1.025322220158762,1.0,1.025157310245374,1.0,49.99692202066689,50.17,0.00512578655122687,0.005,49.99179623411566,50.165,50.00204780721811,50.175000000000004,50.00204780721811,50.165,0.1629521927818871,0.003248000653416127,BNDX,IAGG,2025-04-09,False
48.93,50.2,0.1599999999999966,0.030000000000001137,1.025955446556305,1.0,1.0253617416614946,1.0,1.025322220158762,1.0,50.16901623236822,50.2,0.00512661110079381,0.005,50.16388962126743,50.195,50.17414284346901,50.205000000000005,50.17414284346901,50.195,0.020857156530986742,0.00041548120579654863,BNDX,IAGG,2025-04-10,False
48.9,50.25,-0.030000000000001137,0.04999999999999716,1.0276073619631902,1.0,1.0254730218521018,1.0,1.0253617416614946,1.0,50.14018916724709,50.25,0.0051268087083074735,0.005,50.13506235853878,50.245,50.14531597595539,50.255,50.14531597595539,50.245,0.09968402404460619,0.0019837616725294762,BNDX,IAGG,2025-04-11,False
49.07,50.39,0.1700000000000017,0.14000000000000057,1.0269003464438557,1.0,1.0255819452311548,1.0,1.0254730218521018,1.0,50.31996118228263,50.39,0.005127365109260509,0.005,50.31483381717337,50.385,50.32508854739189,50.395,50.32508854739189,50.385,0.059911452608105265,0.0011889552015897057,BNDX,IAGG,2025-04-14,False
49.04,50.37,-0.030000000000001137,-0.020000000000003126,1.0271207177814028,1.0,1.025692356248905,1.0,1.0255819452311548,1.0,50.29453859413583,50.37,0.0051279097261557735,0.005,50.289410684409674,50.364999999999995,50.299666503861985,50.375,50.299666503861985,50.364999999999995,0.06533349613800965,0.0012970715929721988,BNDX,IAGG,2025-04-15,False
49.19,50.49,0.14999999999999858,0.12000000000000455,1.0264281357999594,1.0,1.0258130241226469,1.0,1.025692356248905,1.0,50.45380700388364,50.49,0.005128461781244526,0.005,50.44867854210239,50.485,50.45893546566489,50.495000000000005,50.45893546566489,50.485,0.02606453433511291,0.000516231616857059,BNDX,IAGG,2025-04-16,False
49.26,50.53,0.07000000000000028,0.03999999999999915,1.0257815671944783,1.0,1.0259211618374746,1.0,1.0258130241226469,1.0,50.531549568281584,50.53,0.005129065120613234,0.005,50.52642050316097,50.525,50.5366786334022,50.535000000000004,50.535000000000004,50.52642050316097,-0.00857949683903314,-0.000169790161073286,IAGG,BNDX,2025-04-17,False
49.19,50.49,-0.07000000000000028,-0.03999999999999915,1.0264281357999594,1.0,1.0260197983849735,1.0,1.0259211618374746,1.0,50.465061950785376,50.49,0.005129605809187373,0.005,50.45993234497619,50.485,50.470191556594564,50.495000000000005,50.470191556594564,50.485,0.014808443405435412,0.00029329458121282254,BNDX,IAGG,2025-04-21,False
49.32,50.58,0.13000000000000256,0.0899999999999963,1.0255474452554745,1.0,1.0260525707711787,1.0,1.0260197983849735,1.0,50.60329645634689,50.58,0.005130098991924867,0.005,50.59816635735496,50.574999999999996,50.608426555338816,50.585,50.585,50.59816635735496,0.013166357354961633,0.0002603075791807361,IAGG,BNDX,2025-04-22,False
49.24,50.55,-0.0799999999999983,-0.030000000000001137,1.0266043866774979,1.0,1.026138446213651,1.0,1.0260525707711787,1.0,50.522828584772846,50.55,0.005130262853855894,0.005,50.51769832191899,50.544999999999995,50.5279588476267,50.555,50.5279588476267,50.544999999999995,0.017041152373295176,0.00033711478483274335,BNDX,IAGG,2025-04-23,False
49.45,50.71,0.21000000000000085,0.1600000000000037,1.0254802831142569,1.0,1.0261578326441476,1.0,1.026138446213651,1.0,50.74254616526504,50.71,0.005130692231068255,0.005,50.73741547303397,50.705,50.74767685749611,50.715,50.715,50.73741547303397,0.022415473033966293,0.00044203259779069794,IAGG,BNDX,2025-04-24,False
49.42,50.68,-0.030000000000001137,-0.030000000000001137,1.0254957507082152,1.0,1.026178766119949,1.0,1.0261578326441476,1.0,50.71272008927378,50.68,0.005130789163220738,0.005,50.70758930011056,50.675,50.717850878437,50.685,50.685,50.70758930011056,0.022589300110560373,0.0004457241537206072,IAGG,BNDX,2025-04-25,False
49.39,50.66,-0.030000000000001137,-0.020000000000003126,1.0257137072281837,1.0,1.0262764137918867,1.0,1.026178766119949,1.0,50.682969258664286,50.66,0.005130893830599745,0.005,50.67783836483369,50.654999999999994,50.68810015249488,50.665,50.665,50.67783836483369,0.012838364833690719,0.00025342212462871533,IAGG,BNDX,2025-04-28,False
49.43,50.72,0.03999999999999915,0.060000000000002274,1.0260975116326116,1.0,1.0263830099798261,1.0,1.0262764137918867,1.0,50.72884313373296,50.72,0.005131382068959434,0.005,50.723711751664,50.714999999999996,50.73397451580192,50.725,50.725,50.723711751664,-0.0012882483360030506,-2.5399217981132702e-05,IAGG,BNDX,2025-04-29,False
49.55,50.82,0.11999999999999744,0.10000000000000142,1.0256306760847629,1.0,1.026374353327378,1.0,1.0263830099798261,1.0,50.857278144500384,50.82,0.005131915049899131,0.005,50.85214622945048,50.815,50.862410059550285,50.825,50.825,50.85214622945048,0.027146229450480064,0.0005341642945785137,IAGG,BNDX,2025-04-30,False
49.34,50.74,-0.20999999999999375,-0.0799999999999983,1.0283745439805432,1.0,1.0264719006820788,1.0,1.026374353327378,1.0,50.64131059317283,50.74,0.00513187176663689,0.005,50.636178721406196,50.735,50.64644246493947,50.745000000000005,50.64644246493947,50.735,0.08855753506053077,0.001745319965717989,BNDX,IAGG,2025-05-01,True
49.23,50.66,-0.11000000000000654,-0.0800000000000054,1.0290473288645134,1.0,1.0265977365130596,1.0,1.0264719006820788,1.0,50.53321167057874,50.66,0.0051323595034103945,0.005,50.528079311075324,50.654999999999994,50.53834403008215,50.665,50.53834403008215,50.654999999999994,0.11665596991784355,0.002302723448832285,BNDX,IAGG,2025-05-02,False
49.23,50.67,0.0,0.010000000000005116,1.0292504570383914,1.0,1.0267358909868212,1.0,1.0265977365130596,1.0,50.53940656853792,50.67,0.005132988682565298,0.005,50.53427357985535,50.665,50.54453955722049,50.675000000000004,50.54453955722049,50.665,0.1204604427795104,0.002377352334310448,BNDX,IAGG,2025-05-05,False
49.24,50.72,0.010000000000005116,0.04999999999999716,1.0300568643379366,1.0,1.0268674693654045,1.0,1.0267358909868212,1.0,50.55647527219108,50.72,0.0051336794549341055,0.005,50.551341592736144,50.714999999999996,50.561608951646015,50.725,50.561608951646015,50.714999999999996,0.15339104835398132,0.003024271458083228,BNDX,IAGG,2025-05-06,False
49.4,50.78,0.1599999999999966,0.060000000000002274,1.0279352226720648,1.0,1.0270081030480271,1.0,1.0268674693654045,1.0,50.72725298665098,50.78,0.005134337346827023,0.005,50.72211864930416,50.775,50.732387323997806,50.785000000000004,50.732387323997806,50.775,0.042612676002192984,0.0008391625837375538,BNDX,IAGG,2025-05-07,False
49.16,50.61,-0.240000000000002,-0.1700000000000017,1.0294955248169244,1.0,1.0270475706975264,1.0,1.0270081030480271,1.0,50.48771834584101,50.61,0.005135040515240136,0.005,50.48258330532577,50.605,50.49285338635625,50.615,50.49285338635625,50.605,0.11214661364374479,0.002215898313450796,BNDX,IAGG,2025-05-08,False
49.18,50.68,0.020000000000003126,0.07000000000000028,1.0305002033346888,1.0,1.0272748085364456,1.0,1.0270475706975264,1.0,50.510199526904344,50.68,0.005135237853487632,0.005,50.50506428905086,50.675,50.51533476475783,50.685,50.51533476475783,50.675,0.1596652352421657,0.0031504584696559926,BNDX,IAGG,2025-05-09,False
48.97,50.52,-0.21000000000000085,-0.1599999999999966,1.0316520318562385,1.0,1.027477042031098,1.0,1.0272748085364456,1.0,50.30564737402974,50.52,0.005136374042682228,0.005,50.300510999987054,50.515,50.310783748072424,50.525000000000006,50.310783748072424,50.515,0.2042162519275763,0.00404228527172558,BNDX,IAGG,2025-05-12,False
48.93,50.52,-0.03999999999999915,0.0,1.0324954015941141,1.0,1.0277567947886108,1.0,1.027477042031098,1.0,50.27445166658162,50.52,0.00513738521015549,0.005,50.269314281371464,50.515,50.279589051791774,50.525000000000006,50.279589051791774,50.515,0.2354109482082265,0.004659757486306938,BNDX,IAGG,2025-05-13,False
48.84,50.39,-0.0899999999999963,-0.13000000000000256,1.0317362817362816,1.0,1.027987572986355,1.0,1.0277567947886108,1.0,50.195641857475756,50.39,0.005138783973943054,0.005,50.190503073501816,50.385,50.2007806414497,50.395,50.2007806414497,50.385,0.18421935855030114,0.003655871374286587,BNDX,IAGG,2025-05-14,False
49.05,50.59,0.20999999999999375,0.20000000000000284,1.0313965341488278,1.0,1.0282359929037983,1.0,1.027987572986355,1.0,50.42279045498071,50.59,0.005139937864931775,0.005,50.41765051711578,50.585,50.427930392845646,50.595000000000006,50.427930392845646,50.585,0.15706960715435514,0.003104756022027182,BNDX,IAGG,2025-05-15,False
49.07,50.61,0.020000000000003126,0.01999999999999602,1.0313837375178316,1.0,1.028516101419966,1.0,1.0282359929037983,1.0,50.45554017178938,50.61,0.005141179964518992,0.005,50.45039899182486,50.605,50.4606813517539,50.615,50.4606813517539,50.605,0.14431864824609875,0.002851583644459568,BNDX,IAGG,2025-05-16,False
49.13,50.69,0.060000000000002274,0.0799999999999983,1.0317524933848972,1.0,1.028782319299213,1.0,1.028516101419966,1.0,50.53099606276293,50.69,0.00514258050709983,0.005,50.52585348225583,50.684999999999995,50.53613864327003,50.695,50.53613864327003,50.684999999999995,0.1488613567299666,0.002936700665416583,BNDX,IAGG,2025-05-19,False
49.05,50.58,-0.0800000000000054,-0.10999999999999943,1.0311926605504587,1.0,1.029064580063962,1.0,1.028782319299213,1.0,50.46177276162639,50.58,0.0051439115964960645,0.005,50.456628850029894,50.574999999999996,50.46691667322289,50.585,50.46691667322289,50.574999999999996,0.10808332677710553,0.0021368787421333635,BNDX,IAGG,2025-05-20,False
48.83,50.42,-0.21999999999999886,-0.1599999999999966,1.0325619496211347,1.0,1.029362458211144,1.0,1.029064580063962,1.0,50.24922344452326,50.42,0.00514532290031981,0.005,50.24407812162294,50.415,50.25436876742358,50.425000000000004,50.25436876742358,50.415,0.16063123257642076,0.0031858633989770083,BNDX,IAGG,2025-05-21,False
48.9,50.49,0.07000000000000028,0.07000000000000028,1.032515337423313,1.0,1.0297142109265967,1.0,1.029362458211144,1.0,50.33582420652494,50.49,0.00514681229105572,0.005,50.33067739423388,50.485,50.340971018816,50.495000000000005,50.340971018816,50.485,0.14402898118400032,0.002852623909368198,BNDX,IAGG,2025-05-22,False
49.11,50.63,0.21000000000000085,0.14000000000000057,1.0309509264915497,1.0,1.0299869697157633,1.0,1.0297142109265967,1.0,50.56926489860516,50.63,0.005148571054632983,0.005,50.56411632755053,50.625,50.574413469659795,50.635000000000005,50.574413469659795,50.625,0.05058653034020466,0.0009991414248509709,BNDX,IAGG,2025-05-23,False
49.28,50.76,0.1700000000000017,0.12999999999999545,1.0300324675324675,1.0,1.0302029077309776,1.0,1.0299869697157633,1.0,50.757757867592815,50.76,0.005149934848578817,0.005,50.75260793274423,50.754999999999995,50.7629078024414,50.765,50.7629078024414,50.754999999999995,-0.007907802441401657,-0.00015578807016157717,BNDX,IAGG,2025-05-27,False
49.3,50.74,0.01999999999999602,-0.01999999999999602,1.0292089249492902,1.0,1.0303584783968116,1.0,1.0302029077309776,1.0,50.78900335113719,50.74,0.005151014538654888,0.005,50.783852336598535,50.735,50.794154365675844,50.745000000000005,50.745000000000005,50.783852336598535,0.03885233659853071,0.0007657141623675742,IAGG,BNDX,2025-05-28,False
